team,orb_rate_off_gravity,orb_rate_def_gravity,orb_rate_off_avg,orb_rate_def_avg
Abilene Christian,0.26324984140925356,1.7744224227946503,27.890947459654118,26.343199135701138
Air Force,0.9005031120307219,-0.18493359757029368,19.596686030343605,28.841137717233774
Akron,0.8751661091178401,-0.5790043417472325,33.13422656193944,27.445602684261754
Alabama,2.7938734551700084,-1.3499879541286814,29.344582811970067,30.477516413131372
Alabama A&M,1.7020580813917985,-1.2260652486818646,25.190453466642964,27.369890591330428
Alabama St.,-0.3686475377967479,2.0845496336628964,29.88250376344355,29.42320559790349
Albany,0.63169016738791,2.845533803209411,29.492931237137125,29.62049132209447
Alcorn St.,1.5721560250099658,1.2323125359832785,24.56638842615079,34.18367579145362
American,1.2199823426983174,-1.69209331831062,24.280994505343973,27.86044193553357
Appalachian St.,0.16762509921651114,0.38441611879510934,30.27816461326771,25.93618619693565
Arizona,1.180093821459734,1.5358534252636074,37.91787864051557,23.51219904164653
Arizona St.,-0.23641261706667308,0.17107806931527553,26.7107976668648,31.94960106242594
Arkansas,2.120202433871657,-0.9737899422335284,30.049029393727384,30.169516503229765
Arkansas Pine Bluff,1.869205571924725,1.3853365244448246,25.64861640383345,33.108759675186036
Arkansas St.,0.9419920901533629,0.8159294582662754,37.74474971269763,25.31867991373911
Army,1.32147574784394,-0.5613799475977587,27.120157953879602,25.78839301674709
Auburn,1.231950311898721,-2.1865934173206787,35.43554480212378,29.05722288730316
Austin Peay,1.4323288645062835,-0.7080042341119972,27.723495291199903,27.212818842214393
BYU,1.6188552820763653,1.7709702655291217,32.05257635600523,25.60923985225334
Ball St.,1.2346972482802552,1.8544346667894225,23.64115164095527,29.30725111606706
Baylor,1.1960018696361028,-1.7204431820712092,35.42259154594609,28.75432071415274
Bellarmine,1.0843398276486285,1.1360088555286112,20.401342904039186,33.72763479153995
Belmont,0.9141592630074926,-0.48087919197251006,27.13011877956228,26.947503289060588
Bethune Cookman,0.6215464643122254,1.5944158010109506,28.151626988685198,29.359077993200927
Binghamton,1.1154388071691412,-0.5323643900245183,18.095704146162046,25.9638901536488
Boise St.,1.343161956722583,1.2908350647678226,31.879370932265445,21.77977529859311
Boston College,-0.03161221625946669,1.3578936995558093,26.04228720925589,26.275355190454984
Boston University,1.4411419650012738,-0.24448834261687016,25.220460758642563,25.17443409045879
Bowling Green,1.4028161062297269,0.6938895813606977,26.326968578737706,24.68476936227042
Bradley,0.8690210339643639,-0.0101339161315141,25.736878490413687,26.725543660418563
Brown,0.754612982507419,-0.6184155691990981,26.174719076483907,27.045474138606995
Bryant,1.0632986473840367,3.457286207095142,24.395085668842444,29.357435097005517
