player_name,team,conf,gp,min_per,o_rtg,usg,e_fg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,hometown,rec_rank,ast_tov,rim_made,rim_attempted,mid_made,mid_attempted,rim_pct,mid_pct,dunks_made,dunks_attempted,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,player_type,coag,dob
Riley Grigsby,Seattle,WAC,17,83.7,102.7,23.3,49.0,52.2,4.2,12.3,7.7,12.6,44,56,0.786,71,161,0.441,36,94,0.383,1.6,1.3,22.0,Jr,6-6,11.0,2.5043648607636,104.56739137137,2.9,2021,65536,347,0.0,0.66666666666667,37,64,34,97,0.578125,0.35051546391753,1,3,0.33333333333333,,104.05261677295,103.06237584864,3.1374417653901,108.83333245141,-0.85019792304964,-0.1430036362205,-0.70719428682913,0.8108959257067,37.647058823529,1.5180128833123,-0.70711695760556,1.5294117647059,3.7058823529412,5.2352941176471,1.2941176470588,0.88235294117647,0.52941176470588,17.294117647059,,8.3446538164065,
Jacob Eyman,Portland St.,BSky,17,40.7,91.0,14.1,51.7,49.1,6.2,15.4,1.5,17.9,10,28,0.357,30,58,0.517,0,0,0.0,9.3,1.6,48.3,So,6-10,32.0,-0.23002400100294,81.407618008344,6.8,2021,65537,347,0.0,0.15384615384615,24,34,6,24,0.70588235294118,0.25,6,6,1.0,,93.61509529798,95.527580341884,1.8965583401137,63.21949071795,-0.91139664249541,-5.0889291664307,4.1775325239353,-2.8946184003226,17.352941176471,-5.342670147053,2.4480517467304,1.0588235294118,2.0588235294118,3.1176470588235,0.11764705882353,0.47058823529412,1.3529411764706,4.1176470588235,,0.0,
Jamal Gaines,UT Rio Grande Valley,WAC,3,2.2,72.6,12.2,33.3,28.8,7.3,0.0,0.0,0.0,0,1,0.0,1,3,0.333,0,0,0.0,0.0,0.0,33.3,So,6-8,5.0,-0.28364474843104,66.392231203344,6.2,2021,65538,347,35.2,0.0,1,2,0,1,0.5,0.0,0,0,0.0,,108.45570026802,105.31663172061,0.32989151265312,1.3663012345551,-11.318308039151,-6.4843245160679,-4.8339835230833,-9.9669097639439,4.3333333333333,-6.2385921886102,-3.7283175753337,0.33333333333333,0.0,0.33333333333333,0.0,0.0,0.0,0.66666666666667,,0.0,
Quinton Johnson II,UT Rio Grande Valley,WAC,13,63.0,84.7,21.1,36.7,40.6,4.5,18.1,15.4,16.0,27,44,0.614,23,65,0.354,16,63,0.254,0.6,1.2,34.4,So,6-4,2.0,-0.024144606825144,85.016470491865,3.3,2021,65539,347,0.0,1.1739130434783,12,24,11,41,0.5,0.26829268292683,0,1,0.0,,98.295931913037,99.611171691604,2.7892549317751,71.762948624281,-3.0831484401766,-2.6076126160418,-0.47553582413476,-3.1705427337787,29.076923076923,-2.0953737672415,-1.0751689665372,1.3846153846154,4.6153846153846,6.0,2.0769230769231,0.61538461538462,0.15384615384615,9.3076923076923,,9.2268775804727,
Uche Dibiamaka,UT Rio Grande Valley,WAC,15,58.2,92.6,17.9,45.5,48.3,2.7,11.5,9.0,16.8,15,19,0.789,27,64,0.422,16,48,0.333,1.2,1.3,17.0,Jr,6-4,15.0,0.26999461651859,88.599964215639,4.0,2021,65540,347,0.0,0.73684210526316,17,36,10,28,0.47222222222222,0.35714285714286,2,2,1.0,,100.56253739916,103.0644101887,1.9530975163641,59.658722382833,-3.3810454250168,-2.7690124153437,-0.61203300967312,-2.8648375209707,23.266666666667,-2.0114752105187,-0.85336231045194,0.66666666666667,2.3333333333333,3.0,0.93333333333333,0.53333333333333,0.26666666666667,7.8,,7.6097959426579,
Jermaine Harris,Rhode Island,A10,21,28.6,88.1,16.7,41.2,41.8,8.2,14.0,6.5,15.2,14,33,0.424,25,57,0.439,2,11,0.182,1.5,1.0,48.5,Jr,6-8,0.0,0.069237798352284,86.724931198869,3.7,2021,65541,347,83.8,0.76923076923077,18,30,7,27,0.6,0.25925925925926,2,2,1.0,,102.1130607702,99.509904409699,1.3075916781063,49.9722998195,-2.8952682976612,-2.1592273064255,-0.73604099123572,-2.6082882621189,13.904761904762,-2.2162260953783,-0.39206216674058,1.0,1.8095238095238,2.8095238095238,0.47619047619048,0.23809523809524,0.19047619047619,3.3333333333333,,2.1400602231105,
Luke Frampton,Western Kentucky,CUSA,24,43.9,114.1,16.6,59.8,62.1,1.3,9.1,11.8,19.6,19,22,0.864,7,15,0.467,48,117,0.41,0.0,1.2,16.7,Jr,6-5,14.0,1.6831706923493,109.86412232274,3.3,2021,65542,347,0.0,1.0740740740741,4,9,2,5,0.44444444444444,0.4,0,0,0.0,,102.3948202339,102.47612532589,1.6948868374977,75.285390262638,1.7950691549327,3.200497234105,-1.4054280791723,1.424272261498,19.916666666667,1.8938693671355,-0.4695971056375,0.20833333333333,1.625,1.8333333333333,1.2083333333333,0.41666666666667,0.0,7.375,,14.108400811235,
David Azore,UT Arlington,SB,10,27.5,103.8,24.7,44.7,51.4,1.2,19.8,12.3,10.0,34,41,0.829,30,77,0.39,11,27,0.407,0.4,3.6,39.4,Jr,6-4,4.0,2.2393708424627,110.66332250113,3.3,2021,65543,347,0.0,1.2727272727273,9,22,21,55,0.40909090909091,0.38181818181818,0,0,0.0,,97.990312666059,99.062261653089,2.4849194585624,56.479922620528,-1.1062028749975,-0.12885071952896,-0.97735215546851,1.3846226853184,25.4,0.82186652100688,0.56275616431157,0.3,4.5,4.8,1.4,1.6,0.1,12.7,,6.034812677793,
Andre Ball,Pepperdine,WCC,10,15.3,82.8,13.6,39.4,39.4,4.2,10.6,7.8,14.9,0,0,0.0,10,24,0.417,2,9,0.222,0.0,1.2,0.0,So,6-7,10.0,-0.36739333570356,77.583520806053,3.5,2021,65544,347,0.0,1.2,10,18,0,6,0.55555555555556,0.0,3,4,0.75,,107.08832833843,101.05855891919,1.254479660618,22.07967659483,-2.5455694499413,-2.1188986830189,-0.42667076692242,-4.28085789219,13.8,-3.2017539903089,-1.0791039018811,0.5,1.3,1.8,0.6,0.3,0.0,2.6,,3.6400230843646,
Tommy Murr,Lipscomb,ASun,7,4.0,60.1,15.6,0.0,28.2,3.3,6.2,4.5,20.6,5,6,0.833,0,2,0.0,0,4,0.0,0.0,0.0,100.0,Fr,6-0,14.0,-0.55033724417394,54.714817933819,2.2,2021,73737,347,64.2,0.5,0,1,0,1,0.0,0.0,0,0,0.0,,111.45035097053,115.12288303384,0.21863037004185,4.6067303141438,-12.371512531134,-7.3716274969815,-4.9998850341522,-13.319548714225,5.2857142857143,-7.9528929605204,-5.3666557537048,0.14285714285714,0.28571428571429,0.42857142857143,0.14285714285714,0.0,0.0,0.71428571428571,,6.4203095679132,
Jared Rodriguez,San Diego,WCC,12,33.6,92.3,21.8,44.3,48.3,3.9,15.5,8.7,13.3,12,14,0.857,16,40,0.4,10,30,0.333,1.1,2.3,20.0,Jr,6-7,20.0,0.6657330680539,97.499078962353,5.3,2021,65546,347,0.0,0.8,9,16,7,24,0.5625,0.29166666666667,2,2,1.0,,105.12568357876,101.22140032318,1.4156255733323,36.594002678894,-0.37425417163752,-0.24014129601628,-0.13411287562123,-0.4204766566721,15.833333333333,-0.58781538978804,0.16733873311594,0.58333333333333,2.0833333333333,2.6666666666667,0.66666666666667,0.66666666666667,0.16666666666667,6.1666666666667,,8.7158875122875,
Aaron Wheeler,Purdue,B10,27,46.3,97.0,14.1,48.5,49.1,5.9,22.3,10.4,22.0,11,21,0.524,22,36,0.611,17,62,0.274,3.4,2.0,21.4,Jr,6-9,1.0,0.56481364655194,94.050889553871,4.1,2021,65547,347,66.4,1.1153846153846,21,33,1,3,0.63636363636364,0.33333333333333,7,8,0.875,,94.691369021348,88.149683058307,2.5113532711581,109.50314015348,5.0495680324126,0.81691708347647,4.2326509489361,3.7234632073797,18.592592592593,0.065675951194679,3.657787256185,0.92592592592593,3.6296296296296,4.5555555555556,1.0740740740741,0.62962962962963,0.48148148148148,3.9259259259259,,7.3943742155012,
Paris Taylor,Green Bay,Horz,23,31.5,95.2,15.5,48.1,47.1,7.9,16.1,6.5,15.4,3,10,0.3,37,77,0.481,0,0,0.0,1.3,0.5,13.0,Jr,6-6,14.0,0.056743931024891,86.454464822871,3.7,2021,73740,347,0.0,0.84615384615385,26,45,11,32,0.57777777777778,0.34375,3,3,1.0,,112.2031840342,112.27527589281,0.70914821761886,49.142539491276,-6.0642290479711,-3.3487139536476,-2.7155150943235,-5.4397687322473,14.086956521739,-3.1377206720083,-2.302048060239,0.95652173913043,1.8260869565217,2.7826086956522,0.47826086956522,0.1304347826087,0.17391304347826,3.3478260869565,,0.0,
Isaiah Richards,Louisiana,SB,24,28.9,106.7,17.2,55.4,57.7,9.3,23.3,5.3,19.9,20,31,0.645,36,65,0.554,0,0,0.0,3.4,1.0,47.7,Fr,6-10,35.0,0.60600302196259,100.38089711174,5.6,2021,73730,347,0.0,0.47058823529412,27,37,9,28,0.72972972972973,0.32142857142857,7,7,1.0,,98.531011611878,100.83936489233,1.0583991514137,59.243605769244,-1.8813603661025,-1.7244136082494,-0.15694675785303,-0.99382158392533,11.666666666667,-1.2363644196271,0.2425428357018,0.95833333333333,2.4583333333333,3.4166666666667,0.33333333333333,0.20833333333333,0.41666666666667,3.8333333333333,,0.0,
Josiah Strong,Illinois St.,MVC,21,65.2,101.9,20.4,49.5,51.5,0.2,9.2,15.6,12.1,25,34,0.735,51,115,0.443,38,103,0.369,0.9,1.8,15.6,Jr,6-3,2.0,1.8161209794075,102.74284307481,2.2,2021,65550,347,0.0,1.7777777777778,24,45,27,70,0.53333333333333,0.38571428571429,5,6,0.83333333333333,,107.58977110868,107.07491069768,2.0958843533795,103.52534542161,-0.47398741923605,0.96680832146356,-1.4407957406996,-0.12809910408884,30.285714285714,0.41908640133642,-0.54718550542527,0.047619047619048,2.4285714285714,2.4761904761905,2.2857142857143,0.95238095238095,0.23809523809524,11.47619047619,,9.4343356348376,
BJ Marable,UNC Asheville,BSth,15,10.1,80.3,12.6,55.6,52.7,5.7,13.7,2.0,32.8,4,9,0.444,5,9,0.556,0,0,0.0,3.6,1.4,100.0,Fr,6-9,11.0,-0.29259424399434,69.574100791007,9.8,2021,73743,347,0.0,0.16666666666667,5,7,0,2,0.71428571428571,0.0,0,0,0.0,,102.17624022166,104.95531627136,0.41608991266461,15.165233840699,-6.3047712671189,-5.6019488671772,-0.70282239994171,-7.4409562258766,5.4666666666667,-7.9311985170034,0.4902422911268,0.26666666666667,0.66666666666667,0.93333333333333,0.066666666666667,0.13333333333333,0.2,0.93333333333333,,0.0,
Jerry Higgins III,The Citadel,SC,7,7.5,87.8,20.7,54.2,62.7,1.7,0.0,13.6,37.0,8,10,0.8,5,10,0.5,1,2,0.5,0.0,0.0,83.3,So,5-10,15.0,0.077863906925918,87.749010921256,2.5,2021,65552,347,0.0,0.55555555555556,4,7,1,3,0.57142857142857,0.33333333333333,0,0,0.0,,119.45091327066,120.14100228113,0.22219420290522,6.9628603944431,-12.985999784898,-6.3014523546901,-6.6845474302081,-9.0438888768551,9.0,-2.9035688958413,-6.1403199810138,0.14285714285714,0.0,0.14285714285714,0.71428571428571,0.0,0.0,3.0,,1.7027745647298,
Dimitri Georgiadis,IU Indy,Horz,14,7.8,108.3,9.9,33.3,59.8,13.6,15.3,2.9,29.9,5,6,0.833,1,3,0.333,0,0,0.0,5.7,0.0,200.0,Jr,6-9,23.0,0.055071447932743,89.223453794223,7.9,2021,65553,347,0.0,0.33333333333333,1,2,0,1,0.5,0.0,0,0,0.0,,105.59428811591,107.17406853909,0.27873401940845,9.9377605713144,-2.6608292333064,-3.3062613798791,0.64543214657274,-6.4652713830811,4.0,-5.1327860887851,-1.332485294296,0.5,0.5,1.0,0.071428571428571,0.0,0.21428571428571,0.5,,0.0,
Donovann Toatley,Monmouth,MAAC,17,32.8,87.4,25.6,43.7,46.7,0.8,7.1,12.4,16.5,20,29,0.69,19,64,0.297,22,55,0.4,0.0,2.4,24.4,So,5-9,11.0,0.37926409322374,92.317158484612,3.6,2021,65554,347,0.0,0.76190476190476,11,37,8,27,0.2972972972973,0.2962962962963,0,0,0.0,,101.41331730894,107.07870709948,1.0837012878666,47.669468006804,-6.3532668820178,-2.6590178296557,-3.6942490523621,-4.3281670158908,15.705882352941,-2.231455791322,-2.0967112245688,0.11764705882353,1.0588235294118,1.1764705882353,0.94117647058824,0.70588235294118,0.0,7.2941176470588,,11.020903896317,
Quinn Strander,Nicholls St.,Slnd,4,0.4,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,Fr,5-10,24.0,-0.30459674444071,-2.5242713999828,0.0,2021,73731,347,0.0,0.0,0,0,0,1,0.0,0.0,0,0,0.0,,110.74309200802,118.43636073601,0.030603350928815,0.41575363109761,-15.256298427742,-10.616863829611,-4.6394345981318,-14.084611834805,1.0,-7.3300814613752,-6.7545303734302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
William Dunn,Youngstown St.,Horz,16,13.3,96.4,15.6,46.9,45.1,6.1,12.9,8.8,15.2,1,5,0.2,6,9,0.667,6,23,0.261,0.9,0.5,15.6,Fr,6-8,,0.013899616386494,85.780704608496,6.1,2021,73748,347,0.0,1.2,5,7,1,2,0.71428571428571,0.5,1,1,1.0,,110.8789003076,112.32309752625,0.39539879440407,19.243026719835,-4.1130036299681,-1.5020730295486,-2.6109306004194,-5.4730920537926,7.75,-3.331274789658,-2.1418172641346,0.4375,0.8125,1.25,0.375,0.0625,0.0625,1.9375,,10.813478022669,
