player_name,team,conf,gp,min_per,o_rtg,usg,e_fg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,hometown,rec_rank,ast_tov,rim_made,rim_attempted,mid_made,mid_attempted,rim_pct,mid_pct,dunks_made,dunks_attempted,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,player_type,coag,dob
Zach Hayn,Rutgers,B10,2,0.6,200.0,13.7,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0.0,0.0,0.0,Sr,6-2,53,0.34969923131286,189.35441047993,0.0,2024,78888,362,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0.0,,121.04748518924,113.36505455717,0.059723833739148,0.14821354266027,3.879581292412,5.7540533008854,-1.8744720084734,14.332156009674,1.0,10.733971183685,3.5981848259888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,
Isaiah Richards,Gardner Webb,BSth,7,40.7,128.6,18.6,65.9,71.5,17.2,21.6,12.2,21.8,14,17,0.824,13,20,0.65,1,2,0.5,4.3,2.6,77.3,Jr,6-10,24,1.9437720380666,122.98321138159,5.5,2024,73730,362,0.0,0.875,13,20,0,0,0.65,0.0,0,2,0.0,,99.659222444041,100.6139036495,1.6927098915221,25.829323392379,8.2580509540364,3.9291349039823,4.3289160500541,5.6908952428728,16.571428571429,3.074406496553,2.6164887463198,2.7142857142857,3.1428571428571,5.8571428571429,1.0,0.71428571428571,0.71428571428571,6.1428571428571,,1.0121696815037,
Quinn Strander,Nicholls St.,Slnd,10,50.6,119.0,14.2,59.3,66.1,2.6,8.3,24.2,26.3,15,18,0.833,13,19,0.684,2,8,0.25,0.0,3.2,66.7,Sr,5-10,24,1.2639846299567,106.56745885159,4.3,2024,73731,362,0.0,2.0769230769231,10,14,3,5,0.71428571428571,0.6,0,0,0.0,,104.88280995254,109.52742091008,1.4788431221117,35.41945697041,-0.86140875295445,0.021689860399805,-0.88309861335426,-1.0743985565073,20.5,-2.1319187906387,1.0575202341314,0.4,1.5,1.9,2.7,1.1,0.0,4.7,,2.2971773663579,
Marko Sarenac,Weber St.,BSky,6,9.0,93.8,15.8,35.7,35.7,10.9,12.7,0.0,0.0,0,0,0.0,1,3,0.333,1,4,0.25,5.7,0.0,0.0,Fr,6-10,10,-0.045284723594323,84.943197211685,9.1,2024,79190,362,0.0,0.0,1,2,0,1,0.5,0.0,0,0,0.0,,114.74292410702,116.18427992432,0.17938035554821,3.3305040887979,-8.3312781591226,-4.1536639878724,-4.1776141712502,-9.7353489242137,3.6666666666667,-6.0855217221831,-3.6498272020306,0.33333333333333,0.33333333333333,0.66666666666667,0.0,0.0,0.16666666666667,0.83333333333333,,10.496212879991,
Mylyjael Poteat,Virginia Tech,ACC,8,40.0,110.3,27.3,65.9,65.1,13.5,21.1,9.5,21.7,13,22,0.591,27,41,0.659,0,0,0.0,0.0,0.9,53.7,Sr,6-9,34,2.176745719012,127.78304913278,5.0,2024,73735,362,3.0,0.46153846153846,25,30,2,11,0.83333333333333,0.18181818181818,10,10,1.0,,111.80869505796,106.30372324575,1.3476264542361,20.387623679996,0.50832520512361,1.0673739347782,-0.55904872965455,1.5378289908464,16.0,2.2622585185272,-0.72442952768076,1.75,2.625,4.375,0.75,0.25,0.0,8.375,,0.0,
Ileri Ayo-Faleye,Vermont,AE,8,71.6,111.5,20.0,47.4,53.0,6.2,12.9,16.9,10.3,25,37,0.676,21,36,0.583,4,21,0.19,7.4,1.5,64.9,Jr,6-8,0,2.1968813750499,110.69380998631,4.4,2024,73741,362,0.0,2.375,17,24,4,12,0.70833333333333,0.33333333333333,5,6,0.83333333333333,,92.904054722748,96.682620778299,3.3666400349957,45.05705294353,5.1222655652017,0.85256435909345,4.2697012061082,3.3736668308472,28.625,-0.19062749296027,3.5642943238075,1.5,3.25,4.75,2.375,0.75,1.875,9.875,,5.4263596269871,
Josiah Strong,Colorado St.,MWC,9,58.9,62.2,13.3,27.1,28.8,1.7,8.6,4.0,15.0,3,5,0.6,10,20,0.5,2,28,0.071,0.5,1.1,10.4,Sr,6-4,3,-2.5201161337588,57.744815783948,2.6,2024,65550,362,0.0,0.71428571428571,8,14,2,6,0.57142857142857,0.33333333333333,0,0,0.0,,108.51928573345,102.60443338967,2.2863773453731,29.493791877191,-3.2962689687434,-4.341407049032,1.0451380802886,-7.7693528667603,23.555555555556,-6.7307550597464,-1.0385978070139,0.33333333333333,1.7777777777778,2.1111111111111,0.55555555555556,0.44444444444444,0.11111111111111,3.2222222222222,,7.978955227464,
BJ Marable,Western Kentucky,CUSA,4,3.8,68.7,14.8,50.0,40.4,9.2,17.7,0.0,30.5,0,1,0.0,1,2,0.5,0,0,0.0,0.0,4.5,50.0,Sr,6-9,13,-0.27175910914105,62.470951970844,13.3,2024,73743,362,0.0,0.0,1,1,0,1,1.0,0.0,0,0,0.0,,92.923548966282,98.991468688372,0.32880053011158,3.0726449581249,-7.7924239772888,-6.951683413891,-0.84074056339779,-8.1010707184421,3.0,-10.76756060959,2.6664898911474,0.25,0.5,0.75,0.0,0.25,0.0,0.5,,0.0,
Micah Schnyders,Eastern Michigan,MAC,4,16.5,33.7,10.7,12.5,12.5,0.0,6.6,7.5,25.0,0,0,0.0,1,4,0.25,0,4,0.0,2.6,0.0,0.0,Jr,6-4,14,-2.3803667661915,28.370433643558,0.0,2024,73744,362,0.0,1.0,0,2,1,2,0.0,0.5,0,0,0.0,,104.44619521776,109.73066043775,0.82418267216385,5.5334079381959,-11.43416536358,-9.1682487478248,-2.2659166157552,-12.403213596134,11.75,-8.8627199411088,-3.5404936550254,0.0,0.75,0.75,0.5,0.0,0.25,0.5,,5.3429223062393,
Szymon Zapala,Longwood,BSth,8,38.2,119.2,28.8,63.6,66.1,18.9,22.0,1.8,18.4,21,30,0.7,28,44,0.636,0,0,0.0,7.1,0.0,68.2,Sr,7-0,12,2.119498548566,128.59913722602,3.9,2024,73746,362,74.6,0.090909090909091,26,38,2,6,0.68421052631579,0.33333333333333,8,9,0.88888888888889,,105.81545580201,103.92145411721,1.4115874191947,22.437309124942,-3.3931168325555,-1.4107400012847,-1.9823768312709,1.6691412120116,15.5,3.4693064601699,-1.8001652481583,2.375,2.75,5.125,0.125,0.0,0.75,9.625,,0.0,
