Team,R32_Torvik,R32_Miya,R32_KenPom,R32_Consensus,S16_Torvik,S16_Miya,S16_KenPom,S16_Consensus,E8_Torvik,E8_Miya,E8_KenPom,E8_Consensus,F4_Torvik,F4_Miya,F4_KenPom,F4_Consensus,Championship_Torvik,Championship_Miya,Championship_KenPom,Championship_Consensus,Champion_Torvik,Champion_Miya,Champion_KenPom,Champion_Consensus
Villanova,46.2,41.6,48.11,45.3,7.2,3.0,6.85,5.68,2.8,1.0,2.72,2.17,0.8,0.2,0.88,0.63,0.2,0.0,0.2,0.13,0.0,0.0,0.05,0.02
Saint Louis,45.9,48.3,44.25,46.15,5.7,4.0,4.57,4.76,1.6,1.5,1.59,1.56,0.4,0.4,0.42,0.41,0.1,0.0,0.09,0.06,0.0,0.0,0.02,0.01
Clemson,46.1,39.8,42.9,42.93,8.8,4.8,8.02,7.21,3.1,1.6,2.76,2.49,0.8,0.3,0.72,0.61,0.2,0.0,0.17,0.12,0.0,0.0,0.03,0.01
Georgia,54.1,51.7,55.76,53.85,7.5,4.0,7.29,6.26,2.5,1.8,2.91,2.4,0.7,0.5,0.9,0.7,0.2,0.1,0.21,0.17,0.0,0.0,0.04,0.01
N.C. State,26.1,24.8,20.94,23.95,8.5,5.5,6.61,6.87,2.3,1.0,2.04,1.78,0.6,0.1,0.43,0.38,0.1,0.0,0.09,0.06,0.0,0.0,0.02,0.01
Texas,19.3,26.7,19.3,21.77,5.6,7.5,5.96,6.35,1.4,1.5,1.81,1.57,0.3,0.2,0.36,0.29,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.01
Texas A&M,40.3,37.3,39.28,38.96,8.1,4.3,8.11,6.84,2.1,0.9,2.18,1.73,0.5,0.2,0.52,0.41,0.1,0.0,0.11,0.07,0.0,0.0,0.02,0.01
Tennessee St.,2.2,1.4,1.57,1.72,0.2,0.1,0.11,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,8.1,13.1,7.49,9.56,0.8,1.4,0.71,0.97,0.0,0.1,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCU,36.6,53.4,41.03,43.68,6.6,8.7,8.32,7.87,1.3,1.5,1.92,1.57,0.2,0.2,0.41,0.27,0.0,0.0,0.08,0.03,0.0,0.0,0.01,0.0
TCU,31.6,36.1,38.93,35.54,3.2,3.9,4.19,3.76,0.9,1.2,1.45,1.18,0.2,0.4,0.43,0.34,0.0,0.1,0.09,0.06,0.0,0.0,0.01,0.0
UMBC,0.9,0.2,0.35,0.48,0.1,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Florida,25.5,29.4,27.56,27.49,7.2,8.9,7.45,7.85,1.8,2.9,2.22,2.31,0.3,0.4,0.34,0.35,0.0,0.0,0.06,0.02,0.0,0.0,0.01,0.0
Siena,1.6,0.4,0.91,0.97,0.2,0.0,0.09,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCF,29.8,28.8,34.39,31.0,6.0,4.6,8.43,6.34,1.4,0.8,2.08,1.43,0.2,0.1,0.28,0.19,0.0,0.0,0.05,0.02,0.0,0.0,0.01,0.0
Akron,16.9,33.0,21.85,23.92,4.2,6.4,5.44,5.35,0.5,0.4,0.46,0.45,0.1,0.0,0.08,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
SMU,20.0,19.8,23.26,21.02,6.2,6.0,7.88,6.69,1.6,1.4,1.94,1.65,0.2,0.2,0.34,0.25,0.0,0.1,0.06,0.05,0.0,0.0,0.01,0.0
Queens,2.8,0.3,2.39,1.83,0.3,0.0,0.26,0.19,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal Baptist,14.6,7.6,13.29,11.83,2.4,0.6,2.18,1.73,0.1,0.0,0.11,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furman,3.9,3.6,4.18,3.89,0.4,0.5,0.44,0.45,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,10.9,4.7,9.31,8.3,1.8,1.2,1.71,1.57,0.1,0.0,0.08,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Point,15.2,25.6,16.78,19.19,2.8,4.2,2.72,3.24,0.3,0.3,0.15,0.25,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hofstra,14.3,14.1,15.08,14.49,2.6,5.4,3.52,3.84,0.2,0.2,0.23,0.21,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Howard,0.7,0.1,0.18,0.33,0.1,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,3.8,0.6,3.12,2.51,0.5,0.0,0.36,0.29,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennesaw St.,6.3,3.2,3.67,4.39,0.8,0.4,0.31,0.5,0.1,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIU,1.1,0.7,0.41,0.74,0.1,0.1,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehigh,0.4,0.3,0.13,0.28,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McNeese St.,15.8,14.3,17.76,15.95,3.7,3.9,4.34,3.98,0.4,0.3,0.6,0.43,0.0,0.0,0.09,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Miami OH,3.9,3.3,3.61,3.6,0.7,0.6,0.58,0.63,0.1,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,42.8,33.3,37.47,37.86,8.5,3.4,7.35,6.42,2.8,0.7,1.95,1.82,0.6,0.1,0.29,0.33,0.1,0.0,0.04,0.05,0.0,0.0,0.01,0.0
North Dakota St.,9.6,6.7,8.41,8.24,1.5,0.6,1.19,1.1,0.2,0.0,0.16,0.12,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Iowa,17.7,14.7,20.23,17.54,4.9,3.9,5.78,4.86,0.5,0.2,0.57,0.42,0.1,0.0,0.12,0.07,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
Penn,3.7,0.9,3.04,2.55,0.4,0.1,0.4,0.3,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prairie View A&M,0.5,0.0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wright St.,7.8,5.1,6.98,6.63,0.9,0.3,0.75,0.65,0.1,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
