team,adj_margin,avg_gravity,gravity_z,blended_score,torvik_rank,gravity_rank
Duke,38.11944229268222,1.26172136557222,0.7771500009567659,42.56312098481663,1,1
Michigan,37.79974391656856,1.1041057348174677,0.3248247332308648,39.64148767665272,2,2
Florida,34.95377366812333,1.1888657719540792,0.5680690504771044,37.9321972208597,3,3
Houston,32.40973979513481,1.376614118543335,1.1068691728343842,37.79074107695758,5,4
Arizona,34.362131659380296,1.1644594982873933,0.4980279370569974,36.92912689086061,4,5
Illinois,33.966763197506964,1.113923842313877,0.3530007338001559,35.76530704753738,6,6
Michigan St.,27.09822161570152,1.4506282028492816,1.3192747593797107,32.46072158595243,10,7
Connecticut,28.53476291732558,1.2903428943253528,0.8592880515675556,32.212700041701204,9,8
Purdue,30.344090391805594,1.1225241450302212,0.3776818787479381,32.06315235201675,8,9
Texas Tech,28.10580070513248,1.2446024171772128,0.7280220503919769,31.175047103721305,11,10
Vanderbilt,26.380682804860584,1.3833431073870273,1.126180022054559,30.837092496309413,15,11
Tennessee,26.07611066227085,1.3937881461380672,1.1561551896622875,30.59831526252973,13,12
Iowa St.,29.853038602622803,0.9624087077359699,-0.08181733268410007,29.486664203975494,7,13
Kansas,24.724408068067035,1.2846314456749044,0.8428973387458267,27.850428732462966,19,14
UCLA,21.900822450015653,1.45664627041802,1.3365454070381133,26.291538998404494,27,15
Louisville,26.351507500614318,0.9685457405831374,-0.06420527852205445,26.097721618831375,14,16
Gonzaga,26.098449394758404,0.9692421422219102,-0.062206745405800186,25.85492445521052,12,17
Virginia,25.11635358163008,1.046000347976247,0.1580739196636022,25.711889650375863,18,18
Nebraska,24.54987021110793,1.058179946720051,0.19302692677466313,25.260688111042985,17,19
St. John's,23.576087908211136,1.1544349930402464,0.4692596163135379,25.235583803108348,21,20
North Carolina,21.76016328207774,1.342328007875002,1.008474907538041,25.051850080163643,26,21
Wisconsin,24.5642641732084,1.0168082167241508,0.07429835425258141,24.838026833432654,22,22
Alabama,27.290752905320588,0.7252792037811198,-0.7623314787016499,24.170062902741428,16,23
Santa Clara,21.255057764179625,1.2110133728895307,0.6316282258878368,23.268851928189463,28,24
Georgia,20.207487850283798,1.3228738738942416,0.9526454424076757,23.095073530745996,37,25
Saint Mary's,21.66826455184912,1.088097994072278,0.2788857258901449,22.57471000509744,24,26
Ohio St.,22.930147014004206,0.8949166567743985,-0.27550599081004856,21.98253808312721,23,27
Villanova,19.776304538905634,1.2188732575546768,0.6541845194383717,21.716907381063265,29,28
BYU,20.10450479541528,1.116122965293733,0.35931177595925035,21.188072593838573,38,29
Kentucky,19.67790848136201,1.1493740907784677,0.45473584123151206,21.02014602140434,32,30
Texas A&M,19.759952452299515,1.1111930508521608,0.3451639096659659,20.783015818786907,31,31
Indiana,19.72247017447556,1.098706448711843,0.3093298643427943,20.63758252801186,36,32
Clemson,18.78024215873637,1.2097290903418683,0.6279425923981545,20.549179250789678,33,33
Iowa,21.87363850678274,0.843375086874765,-0.42341996540905585,20.484378217795918,25,34
Arkansas,26.207938903587404,0.42421727269894116,-1.6263188759332998,19.814569042855773,20,35
Utah St.,20.062350214888482,0.8027458902932532,-0.5400176158655383,18.43724683513295,35,36
Miami FL,19.63079948723832,0.8458843126776973,-0.4162189903048666,18.40519275601998,34,37
SMU,18.076686609440415,0.9110767501984948,-0.22912976181849887,17.455400574847104,41,38
Saint Louis,17.964006228876556,0.8505280153051746,-0.40289249454962345,16.878371736628,40,39
Boise St.,15.288769561194442,1.2021431540030807,0.6061724756339562,16.678914255340388,49,40
TCU,14.85059512877676,1.1269820702428268,0.3904752305597987,15.72041356230566,48,41
New Mexico,14.529682005456806,1.1303960631663907,0.40027270594831643,15.402057275390721,50,42
Cincinnati,18.50482498400386,0.5914760137716971,-1.1463198144636275,15.32295785265208,30,43
San Diego St.,16.319472060931417,0.7792202945372431,-0.6075313602054394,14.832283402079568,43,44
Texas,17.48775420540707,0.44415232136612953,-1.5691092820476185,13.371724588526346,45,45
Oklahoma,17.423471555065547,0.3951302197482399,-1.709792887681254,12.95489239353039,46,46
Auburn,18.08138296422024,0.21559488370042493,-2.2250233160037256,12.046658162072852,42,47
N.C. State,19.36035673080454,0.1111123651556357,-2.5248672017093523,12.028007272354348,39,48
Baylor,16.446073222988517,0.273529304896849,-2.058763139568607,11.367287821668262,47,49
Missouri,17.02143371592254,0.09803492693127194,-2.5623968281663143,10.479083551244079,44,50
