team,tempo_gravity,avg_pace
UMass Lowell,3.9277763713491907,69.47
Tennessee,3.7767085745025426,68.91483870967743
Dartmouth,2.960978883790871,69.76
Penn,2.8627890903942506,69.57846153846154
Eastern Michigan,2.6884226784088527,69.12666666666668
UC Santa Barbara,2.68696718312654,68.24068965517242
Utah,2.653166397254998,69.029375
Iona,2.4736396402547283,70.4325
Quinnipiac,2.390978168892958,70.22774193548386
Northeastern,2.1599441250673874,69.99096774193548
Loyola MD,2.12989935744114,70.032
Campbell,2.1277684366511846,69.93625
Texas Tech,2.123653768507197,68.67290322580645
UNC Asheville,2.1203556518510083,67.76689655172414
Northern Illinois,2.066708721914932,68.96642857142857
Howard,2.0489409760232973,70.21555555555555
Santa Clara,1.960673035923269,69.95454545454545
Bradley,1.8717176310835149,70.00875
Cal Baptist,1.8467536658373533,68.54774193548387
Coppin St.,1.8416593123289138,69.57133333333333
New Orleans,1.768585619841589,70.76060606060605
Wisconsin,1.7556163247131837,70.24645161290321
Creighton,1.752354781367243,68.9574193548387
Charleston,1.7312580854034438,69.61870967741935
Saint Francis,1.69724552934394,70.34206896551724
Syracuse,1.6623026776053682,69.71124999999999
Alabama A&M,1.6477092504808066,67.56357142857142
Indiana St.,1.6345711756575294,70.412
Presbyterian,1.5809219623875022,67.19800000000001
North Carolina A&T,1.5725374484217858,69.73142857142857
Mercer,1.5600378432685886,70.0593103448276
New Mexico,1.542147760331332,70.16866666666667
Youngstown St.,1.537869135059012,69.00620689655173
Missouri St.,1.5344062970275092,68.46275862068966
Southern Indiana,1.5169959967798543,69.645
San Diego,1.513579208352249,69.82322580645162
DePaul,1.5011337935769038,68.08387096774193
Villanova,1.4809926782295826,67.8225806451613
Rice,1.4640851151265075,69.01172413793104
VCU,1.4122285947347673,70.25741935483872
Abilene Christian,1.4063608749747347,69.18357142857143
Idaho St.,1.377879496276758,67.15733333333334
Montana St.,1.3717972371165608,68.1848275862069
UT Arlington,1.3715830432410296,67.67428571428572
Central Michigan,1.3566947727651204,68.14965517241379
Texas St.,1.3407257054306152,68.61466666666666
Tennessee St.,1.33759586673268,71.50758620689656
Duke,1.3335880973190999,67.74774193548386
George Washington,1.3209994501197544,70.33533333333334
San Diego St.,1.3035330419004978,70.67586206896551
Morgan St.,1.297273281284206,71.91923076923078
Western Carolina,1.2964661044020536,69.62896551724138
Cornell,1.2885330216284805,72.8176
Duquesne,1.278096074447742,71.16689655172414
Iowa St.,1.252062852476946,68.68064516129031
Middle Tennessee,1.23533849980195,68.49785714285714
Robert Morris,1.228361425815733,67.34129032258065
Connecticut,1.2224771567899775,67.29806451612905
Michigan,1.2206344998058598,72.91935483870968
FIU,1.2198978184702762,73.18896551724139
Jacksonville,1.218380736491756,65.94866666666667
Tennessee Martin,1.2140141168463667,66.27666666666667
USC,1.2124605107242534,72.44533333333334
UNLV,1.207028799357816,71.898
Bellarmine,1.2068945776634985,66.38066666666667
Northern Arizona,1.1990344458874505,65.74620689655173
Ball St.,1.1984456287127843,66.22758620689655
Sam Houston St.,1.1963834835700673,71.38714285714285
Houston,1.193271486086022,66.12967741935483
Green Bay,1.1826539476745201,65.34064516129033
UNC Greensboro,1.1670933613628596,69.74
Seton Hall,1.1641069841606362,66.48774193548387
Pacific,1.14663990719002,66.47806451612904
Georgetown,1.1429597028082557,68.42774193548388
Stetson,1.1297533830587463,68.15032258064515
Louisiana Monroe,1.1293044062582507,71.75333333333333
Morehead St.,1.127682699839104,67.80466666666668
N.C. State,1.1242193550607362,70.52387096774193
Lindenwood,1.1241112347229225,73.764
Southern Utah,1.1180616348046526,71.655
UNC Wilmington,1.1155914490564838,66.52466666666666
Clemson,1.1139926087261869,65.94387096774193
West Virginia,1.1099078747350246,65.10516129032258
Murray St.,1.1068391486974793,72.5925
North Texas,1.1003301310438207,66.81172413793104
Buffalo,1.0983596140901088,68.32275862068965
Southern Illinois,1.090003801906229,71.19806451612902
Detroit Mercy,1.0868342567719647,70.22600000000001
East Carolina,1.0814986748077584,70.84733333333334
Lipscomb,1.0796149545786433,70.81466666666667
Saint Louis,1.079409535967011,72.17866666666667
Sacramento St.,1.0778259273009816,72.87571428571428
Northern Iowa,1.0766265062414258,64.10529411764706
George Mason,1.0762823321291233,65.266
Austin Peay,1.0745528911706685,70.3944827586207
Stanford,1.0722382563716473,68.17875
UCLA,1.0721824371243904,66.77161290322582
Maryland Eastern Shore,1.0692696128443646,65.61172413793103
Northern Kentucky,1.0685610396190877,71.82064516129033
Tennessee Tech,1.0629785386589976,68.285
Saint Mary's,1.0587910238074125,66.67354838709677
Colorado St.,1.0564545955053117,63.88333333333333
Georgia Tech,1.053643625610673,72.57870967741935
Illinois St.,1.0532289546656077,67.89096774193548
Arkansas St.,1.0530738642111608,73.59733333333334
Southeast Missouri St.,1.0501093590399293,69.45333333333333
Little Rock,1.0452939495564992,67.73933333333333
BYU,1.0423424199394251,71.91437499999999
James Madison,1.041943099276682,67.884375
Kennesaw St.,1.0352854798145894,73.68642857142856
Marquette,1.03453101315806,71.40516129032258
William & Mary,1.0281439592640735,73.462
Massachusetts,1.0261143711617808,73.236
Appalachian St.,1.0245219978545759,64.86
Tarleton St.,1.0237211934605057,71.11333333333333
Charlotte,1.0187736232620512,65.47466666666666
Florida Atlantic,1.0185406064811457,71.8855172413793
Providence,1.0165355629066204,74.84645161290322
Elon,1.0120441272282834,69.58533333333334
South Alabama,1.011804792981109,67.41933333333333
Valparaiso,1.0108926659296626,68.065
Delaware,1.0043609314455038,65.218
Xavier,1.0011835557174418,72.38064516129033
Liberty,1.000789480620183,65.55785714285715
Pittsburgh,1.0004910550154886,65.473125
Oregon St.,0.9997070267713895,67.25878787878787
Air Force,0.9909416295239794,67.04451612903226
Southern Miss,0.987450541939435,70.0139393939394
SIU Edwardsville,0.9863869516133661,66.68620689655172
UTEP,0.9825154047150095,66.34642857142858
Central Arkansas,0.9802621062775406,70.754375
Harvard,0.9794728997039128,64.99777777777778
Oakland,0.9784073626858601,72.02580645161291
Akron,0.9773428612883902,71.79448275862069
Purdue,0.9742185635797563,66.44903225806452
Louisiana Tech,0.97361252866271,66.03071428571428
Drexel,0.9735295299763659,65.49375
Utah Valley,0.9703588935108365,70.99214285714285
Louisiana,0.9693047331522613,64.45636363636363
Virginia,0.9666750161623504,68.56322580645161
Virginia Tech,0.9656982449664303,70.238125
Longwood,0.9646000192849591,71.56275862068966
Kansas St.,0.961363426422626,74.21000000000001
IU Indy,0.9605368892171477,75.27866666666667
Niagara,0.9599520064106473,63.70206896551725
Jacksonville St.,0.9581908877101495,66.51379310344828
Michigan St.,0.9516688447668261,67.44451612903227
Georgia Southern,0.9511768069136104,72.43028571428572
Western Kentucky,0.9472094864800849,72.14068965517241
Yale,0.9461736358752034,66.7023076923077
Belmont,0.9428672936776691,70.83290322580646
Princeton,0.931132858476258,65.42785714285715
Miami OH,0.9289920141056055,72.94857142857143
North Carolina Central,0.928195626861431,67.6304
Pepperdine,0.927252184399474,70.59866666666667
Kent St.,0.9224083788686852,74.4351724137931
Wichita St.,0.9184750393196341,69.89266666666667
North Alabama,0.9102132179599751,66.77714285714286
Portland,0.9077567768822734,70.751875
High Point,0.9073249788726722,71.79870967741935
Drake,0.8962616425927032,68.625625
Butler,0.8959335637347898,71.69483870967741
South Dakota,0.8916654779206099,72.78758620689656
West Georgia,0.8912530586824456,71.684
Georgia,0.8910905985448903,75.05419354838709
Wyoming,0.8904973306111394,67.57333333333334
Western Illinois,0.8894407718720685,67.09428571428572
Cal St. Northridge,0.8876871464111267,76.92533333333334
Towson,0.8869182907119971,64.636875
Cal Poly,0.8865853815252404,77.05066666666667
Iowa,0.883625248950883,63.62580645161291
Charleston Southern,0.881658971325517,76.15517241379311
Queens,0.8777289533266767,71.89030303030303
Temple,0.8753296248616611,66.532
South Florida,0.873808536691289,76.104
Southern,0.8729509148385604,72.68214285714285
Louisville,0.8725103617594111,71.56903225806451
Florida St.,0.8701910888339099,72.48129032258065
Weber St.,0.8698772740475165,71.21933333333332
Alabama,0.8688351946677119,76.22838709677418
UAB,0.8641748615351206,72.19933333333333
Radford,0.8632677371411411,74.39586206896551
Northern Colorado,0.8628389568297075,71.78827586206897
Minnesota,0.8626926201451016,64.20193548387097
North Florida,0.8618226481348943,72.83
San Jose St.,0.8579219277491035,65.898
Oklahoma St.,0.856126834252116,75.7125
San Francisco,0.8554767692487634,68.2125
Holy Cross,0.8504734620828207,66.12
Texas A&M,0.8500437956875789,74.89096774193548
Hofstra,0.8498829284710997,66.225
Davidson,0.8483197501373733,64.80758620689656
Arizona,0.8480108286251304,72.56516129032258
Boise St.,0.8475627427445591,67.92413793103448
Oregon,0.846670668136601,67.030625
St. John's,0.8424765026940172,72.30967741935484
The Citadel,0.8397746937258729,66.39533333333333
Arkansas,0.836414918271867,73.89548387096774
Furman,0.8355945093844804,67.63419354838709
Gonzaga,0.8330052542082863,71.03939393939395
Seattle,0.8290255284432038,69.37612903225806
New Haven,0.8282869256749029,63.517857142857146
Fordham,0.8256375078100117,65.05214285714285
Canisius,0.8248100377188742,64.862
Albany,0.8197015328005687,66.3296551724138
Jackson St.,0.8151044281873088,72.015625
VMI,0.814046709077748,68.11931034482758
Merrimack,0.8104327120372457,64.37823529411764
Ohio,0.8103190446962689,71.37655172413794
Boston University,0.8092409646762295,65.460625
Illinois Chicago,0.8080898162481664,68.0725
Northwestern,0.8075301626634945,66.38
Central Connecticut,0.7997711219593288,65.84071428571428
East Tennessee St.,0.79722243140448,67.20375
Arizona St.,0.7970432315298551,71.5175
Northwestern St.,0.7952619479644584,65.62733333333333
Houston Christian,0.7940847038378025,65.088
Portland St.,0.7907558472444407,70.28285714285714
La Salle,0.7903115769472905,67.01666666666667
Prairie View A&M,0.78897560496039,73.8157142857143
Old Dominion,0.7857510743797355,71.22500000000001
South Dakota St.,0.7852850642063476,68.59103448275862
Fairleigh Dickinson,0.7837671481929186,64.8648275862069
Delaware St.,0.7827665725187514,66.3408
Maryland,0.7807694533321786,67.4575
Illinois,0.7755424586495518,67.24193548387096
UCF,0.7735513883950695,71.55466666666666
Maine,0.7704107874840088,65.51677419354839
Texas A&M Corpus Chris,0.7647174157346379,67.19379310344829
Hampton,0.7640876344876687,67.29933333333334
UMBC,0.7596752936848039,67.30413793103448
North Carolina,0.758576818603463,69.83870967741936
Nevada,0.7562240377099586,67.65677419354839
California,0.7539264303893894,70.67866666666667
Bryant,0.753632146010409,66.02
Cal St. Fullerton,0.7505331527101391,75.77533333333334
Bethune Cookman,0.7485459042703275,72.20066666666666
Wake Forest,0.7463027825915083,71.02312500000001
UMKC,0.7446812492633775,72.30571428571429
Marshall,0.7394958974022317,71.36903225806452
Eastern Illinois,0.738879688081955,67.07733333333333
Memphis,0.7357622530538919,72.61225806451613
Southeastern Louisiana,0.7266741372589999,65.74066666666667
Colorado,0.7175351608832423,71.06375
Notre Dame,0.7165303539168749,68.25741935483872
Gardner Webb,0.7127868402167505,70.99266666666666
Winthrop,0.7126466526774472,72.79677419354839
Arkansas Pine Bluff,0.7102960533286639,71.98758620689655
Siena,0.7067613705379795,64.63470588235293
Lamar,0.7022032302009732,66.63862068965517
Montana,0.6995814999071351,71.5496551724138
Evansville,0.6975072031650018,68.06733333333334
Cleveland St.,0.6895943988976667,71.92266666666667
Rider,0.6845345898680589,65.9707142857143
Saint Peter's,0.6827397103295891,65.85785714285714
Chattanooga,0.6820272720378964,67.71586206896552
American,0.6819791578270024,66.67
Vanderbilt,0.678291507814445,72.33806451612904
Coastal Carolina,0.6777830834026068,69.94451612903227
Navy,0.6724959554247891,66.16709677419354
Florida,0.6713714819202571,73.02903225806452
Loyola Chicago,0.6712286602144413,66.4916129032258
Incarnate Word,0.6674030556597357,65.67714285714285
Stephen F. Austin,0.6673139402545496,66.92733333333334
Grand Canyon,0.665600702591754,68.70064516129031
Marist,0.6648076869767023,66.89733333333332
Vermont,0.6644969140434903,65.41935483870968
Mississippi St.,0.6612910145765353,72.86193548387098
Lafayette,0.6590820285507072,67.08774193548386
Mercyhurst,0.6550121205924054,66.02125
SMU,0.6506726605081357,72.558125
New Mexico St.,0.6492659377464688,68.30499999999999
Rhode Island,0.6398507521618214,66.83161290322582
Hawaii,0.634273954031065,73.26642857142858
McNeese St.,0.6328892080359775,66.97724137931036
Boston College,0.6226701301881565,68.01870967741935
UTSA,0.6226479104261252,70.34357142857144
Fresno St.,0.6220891778600434,69.57199999999999
Alabama St.,0.6215574795282828,71.41741935483871
Florida Gulf Coast,0.6190341620114204,70.7325
Georgia St.,0.6190058426103208,69.43133333333334
Cal St. Bakersfield,0.610575477853307,73.33066666666667
St. Thomas,0.5763004404029249,69.946
USC Upstate,0.5738085326074921,71.0544827586207
Nebraska,0.5652984431190677,68.1916129032258
Indiana,0.562742360512576,67.84322580645161
Ohio St.,0.5520777120754089,67.87032258064517
Chicago St.,0.5481667080817172,66.78709677419356
Penn St.,0.5405849551975328,67.308125
UC Irvine,0.5255493768368453,72.07866666666668
Texas Southern,0.517587006748362,71.4888888888889
Dayton,0.5126650226547599,69.01161290322581
Long Beach St.,0.5053352407659035,72.10066666666667
UT Rio Grande Valley,0.494773420320776,67.23933333333333
Samford,0.48231893821270994,69.56733333333334
South Carolina,0.45228419732595776,69.25483870967743
Kansas,0.4511849554250386,69.34258064516129
Tulane,0.4407014610532985,69.23466666666667
Binghamton,0.4095789491378029,66.85714285714286
Wagner,0.4037819016683421,66.855
UC Davis,0.4000434228302223,71.73586206896552
Western Michigan,0.3854519706080477,69.84965517241379
Stony Brook,0.3849849137935633,67.91066666666667
Washington St.,0.35155409109280517,69.4483870967742
TCU,0.34456478060007306,70.81483870967742
Stonehill,0.3419777955094414,67.80322580645162
Denver,0.33062640663561726,69.7551724137931
Bowling Green,0.3111729116645264,70.84857142857143
Bucknell,0.2890685082166115,67.89696969696969
Miami FL,0.27673889966894916,70.07935483870968
Oral Roberts,0.2615450275279833,70.204
Florida A&M,0.252266014324099,70.91851851851851
Eastern Washington,0.2502432094747796,69.56129032258065
Loyola Marymount,0.24204031901951845,69.14129032258064
Monmouth,0.23448793724071015,68.1539393939394
Baylor,0.23376699523395345,70.2883870967742
Rutgers,0.23291226940544044,67.83483870967743
Columbia,0.21763053007902483,68.52
Eastern Kentucky,0.1972640402991544,69.926
Richmond,0.19190948247222867,69.18
Auburn,0.1863663377340124,70.75870967741936
UC Riverside,0.1699654732174492,71.244
Troy,0.16322320002970347,70.44774193548388
Idaho,0.1291899063989458,70.16733333333333
Grambling St.,0.09647991545000824,69.26516129032258
Fairfield,0.09377400454803438,67.93272727272728
LSU,0.0780041544747584,70.6916129032258
Toledo,0.026402412463815018,69.93724137931034
Brown,0.0029283729378884356,68.4112
Washington,-0.0002527053418761022,68.96709677419355
South Carolina St.,-0.019722650949936322,69.77285714285713
Wofford,-0.022579000857387184,68.87466666666667
Mount St. Mary's,-0.044932072909661204,68.14064516129032
Kentucky,-0.08798148594676097,69.9767741935484
Purdue Fort Wayne,-0.11006061748111251,69.28689655172414
NJIT,-0.12566743971229632,68.235625
Nicholls St.,-0.27551664998410796,68.48125
LIU,-0.2841460101628602,68.75529411764707
Mississippi Valley St.,-0.291444040371262,70.30312500000001
Utah St.,-0.31054270868720557,68.95
Norfolk St.,-0.31273890343834254,69.14666666666666
Utah Tech,-0.36513321728697984,69.80275862068966
St. Bonaventure,-0.3658404912132299,68.93666666666667
North Dakota,-0.3674959771061265,69.866875
Tulsa,-0.4444027990765188,69.38827586206897
Cincinnati,-0.4975476066751666,69.54875
East Texas A&M,-0.5070381880379573,68.69133333333335
Milwaukee,-0.5582655647151106,69.52645161290323
Wright St.,-0.7712011793843441,69.856875
Nebraska Omaha,-0.7768880563846037,69.54
Alcorn St.,-0.8305018283329216,69.62625
UC San Diego,-0.9709434920015363,69.952
North Dakota St.,-1.0628991403907906,69.4716129032258
Oklahoma,-1.2306309211050952,69.88193548387098
Mississippi,-1.320759805146314,69.66193548387096
Army,-1.564266007170004,69.02
Sacred Heart,-1.6024817419864827,68.85875
Texas,-1.686706054832284,69.50466666666667
Saint Joseph's,-1.754405518859957,69.0296551724138
Manhattan,-1.7574638815115047,69.14
Colgate,-1.7772801437157366,69.02967741935484
New Hampshire,-1.9458324987708793,69.19071428571428
Lehigh,-2.104825147181789,69.18645161290323
Le Moyne,-2.2206377302639666,69.02709677419355
Missouri,-2.417317704565517,69.52451612903226
