team,efg_off_gravity,efg_def_gravity,efg_off_avg,efg_def_avg
Abilene Christian,0.8859328053200973,1.1526052902577246,47.3048354189594,56.752359888549385
Air Force,0.7249376380687441,0.7190715589784674,49.66932022181046,56.58018693692012
Akron,0.8600317241865546,0.4200873030430839,59.233316635774074,50.934410066966194
Alabama,1.5102149649582521,1.8933876145726822,55.68197237027782,49.122462181851766
Alabama A&M,1.333661195722405,2.716932053663213,49.647340609787285,52.38196006724779
Alabama St.,1.2458045245137686,2.4625080034694444,47.48086774296957,52.20860877964786
Albany,-0.20892335207141746,1.6100079678735966,51.649533232043744,53.16917190111949
Alcorn St.,1.1853586472149975,1.5526092285373703,47.821985256434466,54.96404851355668
American,-0.4083151552067715,1.1856198799605007,51.70442570023743,54.22049399526458
Appalachian St.,1.172866071028956,0.7316412898702654,50.161169916170294,47.70873053831613
Arizona,1.480322488481749,1.310749099146098,55.06799994027564,44.65491147059335
Arizona St.,1.54910944164699,-1.514108167633835,51.85566031938429,52.3689673152065
Arkansas,1.345455311667905,0.14096848244432933,56.74834560274871,51.606115543795354
Arkansas Pine Bluff,1.4407990330471545,1.8892298727364094,50.273213776216096,52.14576867679804
Arkansas St.,-0.06962780598568691,-0.07842550183467017,51.71537344838529,50.453124544047505
Army,1.671787065198079,1.0558508578722445,49.27423597204059,55.58070976712895
Auburn,2.2184896428150087,-0.11049344643992193,53.035390631748626,54.11525548717201
Austin Peay,-0.5883554995793681,0.5906957665512151,53.33638469082165,52.45951759006534
BYU,1.5354913106683281,0.3222600801707138,55.02396794046423,51.57927817978062
Ball St.,1.3101248754734505,0.6924564042426005,47.132984934171404,52.66294695865601
Baylor,1.7660035527793867,-0.01123562597451029,53.96782526379331,53.05788345817385
Bellarmine,0.7353821904743407,1.0524708467060924,59.57888151621271,59.94636901307333
Belmont,1.0294527411036147,0.8087148183857391,61.2151814639178,50.329984149278154
Bethune Cookman,0.3120221826680794,0.15681049982573783,51.46986638314631,49.61593753665866
Binghamton,1.5737963471898584,1.6602386659557182,50.116853287384494,54.65583017292233
Boise St.,1.521399641288714,-0.5258251467078953,52.66409896199153,52.68518348896661
Boston College,0.8202600921968857,1.4737310392856422,47.20504515224243,49.08707556245872
Boston University,0.7475996517446242,1.5161091986643154,58.671144497651305,53.90756168192669
Bowling Green,-0.588007244504967,0.6786422937701245,51.86995168644169,50.734263182093
Bradley,-0.1511100417251439,0.2825169352614817,51.127617954228455,53.02826334238268
Brown,1.2580604519063423,-0.07488000239136394,49.00482636547394,51.72130054443129
Bryant,1.0840988423332865,1.7005424031696057,46.880836218962756,53.027599380945894
Bucknell,1.3788020046640033,1.0161070756343482,48.38499608175326,54.7009647242945
Buffalo,0.7247831837204449,1.1459790068629974,55.60907114849728,55.174369034412415
Butler,-0.8177780358553403,-0.17371335476315997,51.11930068744396,51.78981884420943
Cal Baptist,1.350695977540639,0.784770413984384,48.786601880310386,46.13997257603361
Cal Poly,0.272477741887152,0.9136864730750425,51.88781331318701,53.91745153875066
Cal St. Bakersfield,1.0215951207064422,1.2024597674257824,45.80754769745598,54.147101845781926
Cal St. Fullerton,0.6471137943086734,0.9547147586767051,52.288471398427575,55.15508253996963
Cal St. Northridge,0.6024651203445871,0.22562652403748198,51.19343348857316,51.748251913936016
California,1.1038207898316306,1.4092942126573222,51.94104953218132,49.16020378846473
Campbell,0.49291287644520015,1.0459689301325725,50.29322877736928,54.04962902157453
Canisius,1.186063540365211,2.052973088720758,46.42546714476006,52.20469260133038
Central Arkansas,0.12818562613119475,0.8877029640840172,54.252775151131104,55.07868175426263
Central Connecticut,-1.0076146957477807,-0.8868311801733381,52.24828040710405,50.16261241061601
Central Michigan,-0.15632739010194438,1.0513737797604108,51.98399307367446,54.178788376783295
Charleston,1.0376795096757683,0.8660167823081028,50.79038560058665,49.24877280651041
Charleston Southern,0.42340176662347123,0.6806172422564574,54.33907285828529,47.00023683294094
Charlotte,1.1744550903346616,-0.22496248979631026,53.90217409400353,51.15029668649681
Chattanooga,0.12494184566640384,1.0217630294548805,54.369066447664174,52.001647069494446
Chicago St.,1.1258896244659666,1.1678857413671344,45.59772259747242,56.567101537866044
Cincinnati,-0.7004043162935258,1.3603797404818174,50.70097805193913,48.25739989391877
Clemson,1.566930763299578,1.367817310457185,53.36884971818806,48.450372882798256
Cleveland St.,0.3980215160573417,1.0383501383414835,54.44009631854553,57.74005805565382
Coastal Carolina,1.0960137304318105,0.6825008536690252,48.183924646871795,46.83439343423307
Colgate,0.3113862001518032,0.7796514189805036,53.49532406529178,52.330509941748296
Colorado,1.7777133283082176,0.010263758345129421,53.30102730658559,53.360118674853624
Colorado St.,1.0031924934766883,0.5199082432906783,59.38222140014318,53.567898501250205
Columbia,0.7107776133614333,0.23977433345903063,53.677381388494254,51.48041760868058
Connecticut,1.4123545105077853,1.159353447556229,55.628766454901054,45.50701151014587
Coppin St.,1.2294668209644866,1.638668443866976,46.08653206398794,55.39461059531539
Cornell,0.9863118896814433,1.0272836037385413,59.14324535945931,55.470484106096045
Creighton,1.6623301602957197,0.8057886607460994,53.35842058598959,51.407197482729536
Dartmouth,0.008545499878462879,0.5415534536720481,51.92518933851056,53.0049938775749
Davidson,1.4620289988387443,1.1026409750583508,53.16294237650479,50.63556071906801
Dayton,1.352639741498334,1.4389446349921118,52.74093940690685,51.162982252460516
DePaul,0.24543097862432842,0.9910349086305339,50.22934931041197,49.86449791555465
Delaware,0.7554840297851123,0.3854535565733439,53.23357349781323,51.75206745075613
Delaware St.,1.185744810390888,1.9945413717690303,42.965124359331504,53.97699259758315
Denver,0.423145745590333,1.0274128122312496,53.79548873729748,56.188195909669886
Detroit Mercy,1.8061462238975956,0.3959416422037905,49.75361890544105,52.2346589865773
Drake,0.027314403064430063,0.4305242673152763,51.58192096642154,53.0514663721492
Drexel,0.552654817444166,0.7039889615410665,51.15246213453573,47.26975674465301
Duke,1.4003538181062647,1.4513391206787671,57.487688524060474,45.9269295007421
Duquesne,0.8171803819548672,0.19525554776752815,52.714219139108565,52.81776642132
East Carolina,0.8643360448676424,1.1797804911317233,46.75020256400471,52.67199801418357
East Tennessee St.,0.41445982599376047,-0.5942064228331461,55.38144845429675,51.27908940558413
East Texas A&M,1.2597636692257532,1.7508625939047857,49.56420261721589,52.80511648335757
Eastern Illinois,1.0111300213232053,-0.9048796747308759,45.640937171429655,50.74109321946173
Eastern Kentucky,-0.6837291013476917,1.0307118441633913,52.57588964675299,56.16636931713627
Eastern Michigan,1.3009059257246383,0.8770027575077817,49.902491907606716,50.244819066268136
Eastern Washington,0.7652275374982556,0.9338857910065993,54.437686548936725,54.71033541972425
Elon,0.28572803649887973,1.0971648368657332,52.227752941494465,53.97895633453384
Evansville,0.3833130869403963,0.6805743399589039,49.2917482929113,55.25919449525251
FIU,0.4425186371751139,0.8205985660356276,50.74391648131488,53.109377314508144
Fairfield,1.2602924850483865,-1.7382825989497421,48.84086436741604,51.36163153946596
Fairleigh Dickinson,1.264263088447952,1.5378533671589643,47.55695937832852,55.47187058600208
Florida,1.569011638102208,1.5026449400408028,54.14736235559978,46.20095829818718
Florida A&M,1.588343267707115,-0.49950898346961525,49.47779415317684,51.54814712964935
Florida Atlantic,1.222735615447456,0.5894037083185916,52.16025523129569,50.17286854665932
Florida Gulf Coast,-1.0053811907503054,1.0828482241474633,52.33100857045463,53.36633431186362
Florida St.,0.9612553244177324,-0.5534394870341883,51.805392041575104,51.80368224417506
Fordham,1.0220062321798666,0.7668128483016007,48.95438110584103,49.91913494130667
Fresno St.,0.4995310259258062,-0.3410554928337883,50.8109988984297,51.75036290912578
Furman,0.4427250677865991,0.6623268869233905,55.036983145033176,50.159508517137525
Gardner Webb,0.9992032912591476,1.048101654480642,47.945022129141215,56.81421484924162
George Mason,0.9593487931686856,1.1317045006634343,53.270053482639476,49.65145849312998
George Washington,1.148812071989594,0.3214195218466498,55.19152081460708,52.38167737465675
Georgetown,0.2590363006005536,1.2421961394289083,49.94806233961882,50.226973220701844
Georgia,1.3031896592482655,1.8111009912661569,55.18477990642709,50.17935299027505
Georgia Southern,-0.013317491749212141,1.9898060202549814,51.68169967984837,52.66112050890234
Georgia St.,0.9768080683005349,-0.30060227530183414,44.46472894805287,50.925607086791544
Georgia Tech,-0.1894143658947058,1.27134926656537,50.30372449872797,50.29157055972523
Gonzaga,1.2022862147489102,1.2463342061752223,56.15321440524641,46.24106524854754
