team,three_pt_rate_off_gravity,three_pt_rate_def_gravity,three_pt_rate_off_avg,three_pt_rate_def_avg
Abilene Christian,0.8785178619396344,0.5318134049752113,33.028656040674356,30.143579005947483
Air Force,0.4161344825104814,-0.3516242483683951,41.85663770897426,38.95832147682183
Akron,0.867103461392599,0.9628716260879508,45.595494054384204,43.058286528591395
Alabama,0.9956892362958752,0.9082324511449413,53.738869047421474,35.49157217783831
Alabama A&M,1.0042142747609302,0.046493602019873445,33.713144129493855,37.09366812303052
Alabama St.,1.322779760940377,3.155910841046242,38.5814017488065,40.041005510702384
Albany,0.10808303614986746,0.23340858281689547,37.59432463668167,40.57307628106727
Alcorn St.,1.2974057709451685,0.43042331213037743,33.783817352505906,34.819876329364035
American,1.0717327251416153,1.4950237708134422,46.27474389738782,36.75747205169703
Appalachian St.,0.9124230982088372,1.2753388104195036,46.05565194022151,41.31103012212862
Arizona,1.0253441003866524,0.6314426331303752,26.947166963312483,37.1772563962437
Arizona St.,0.059524284606365684,1.5981835886279516,38.60371075210068,40.53126235402854
Arkansas,1.0969613038498167,2.231525208585827,33.576981926747976,38.457973914008605
Arkansas Pine Bluff,1.261141106916717,-0.2403733987446345,37.54091008180786,37.177709799157526
Arkansas St.,0.6833918032637871,-1.1480467782610833,44.67435734944289,38.961927583830644
Army,1.03597174368432,-0.05698173817712053,53.28141685200683,41.59490573442392
Auburn,0.0908230645286165,-0.07427536677885448,38.91574882725606,40.33866233769628
Austin Peay,1.5043567994949676,-1.1171800766947835,37.920628474333235,41.01672242042428
BYU,1.2887394911039651,-0.20613927890276085,40.191446362749836,39.38225996448357
Ball St.,0.17125546575075584,0.9236529479351683,39.38214141561723,40.98359084118298
Baylor,-0.39849607709676416,0.6866473798442446,39.93577213873616,34.7339130367296
Bellarmine,0.7497018172286976,0.7358233882153417,41.31571698830137,50.3861100200586
Belmont,1.044650099417738,1.0053997189137494,45.60720783665834,49.0248382660441
Bethune Cookman,1.0274509625664803,0.5657275263086707,30.115960960117757,33.28462030118268
Binghamton,0.8300019004131871,1.1018729293372675,30.940504338333955,38.92445948387698
Boise St.,0.7133598983493651,0.7254792681010661,43.352502507037634,36.713013882586296
Boston College,0.6049433781434064,1.0448727509485152,42.2942474003636,39.21346345648954
Boston University,1.290892203476815,-0.2679134527594259,44.11282039071022,40.83978256477104
