team,tempo,Efficiency (Off),Efficiency (Def),eFG% (Off),eFG% (Def),3pt Rate (Off),3pt Rate (Def),FT Rate (Off),FT Rate (Def),TO Rate (Off),TO Rate (Def),ORB Rate (Off),ORB Rate (Def)
Duke,1.3335880973190999,3.135920568839393,4.029658384914038,2.622188250225108,2.9840434418081396,0.7563367936422709,-0.917995853916447,0.9796825628571103,2.368819829187496,0.328467708881716,0.876447242260992,2.392431930774819,2.776904649662941
Michigan,1.2206344998058598,2.9228578996656682,3.735176783210474,2.8443803451615777,3.563631194500448,0.06975978285174243,-0.4916781208013491,1.5906240941211305,2.0998083997151307,0.03575821704587625,0.13220735920879245,2.1270923157269412,1.9439759407536146
Florida,0.6713714819202571,2.632037748812063,3.2946956909499736,1.2790696307980949,2.9409220185381226,-0.21429352199933427,1.8239363477121355,0.9671149614792474,0.7151188523765477,0.11321057419124557,-0.058192739274314516,3.6182915644769444,2.952676475957662
Arizona,0.8480108286251304,2.7939155011929344,3.7400261343055634,1.6381485660129642,3.2967182776470905,-2.219601479164424,0.346170623834994,1.9763573759259996,1.345398697483446,0.6053929354355654,0.3073558649078245,2.64383889076415,2.3135432783066476
Houston,1.193271486086022,2.1367941213931436,3.2250642441884927,0.43514433037450617,2.3168121477022723,0.3564123871015227,-0.6922945854821159,-1.136513731371868,-0.4267394353579001,2.398272331984732,2.388372401071687,1.624291597785618,0.8752746453387432
Illinois,0.7755424586495518,3.301862637079277,2.095622162525208,1.6992526845801854,2.2825854775776007,1.773953131208462,-0.28284470603779016,0.023892524034958666,3.101153294160881,1.723555542322559,-1.9564211855430043,2.995780095679942,1.5262718979313685
Iowa St.,1.252062852476946,2.245705626415236,2.682376714349539,1.8910509395890152,0.9699890702626601,-0.01149126301843862,-1.077100688364673,0.19154393604151912,1.1425950101924072,0.7861752614946714,2.7699296814164875,1.4936461379031283,1.313683003211349
Purdue,0.9742185635797563,3.15751806755881,1.2801774044020864,2.67072274064294,0.5053364678951192,-0.028776158857409657,-0.9498286141672535,-0.6735898074558326,1.7422946023083155,1.5663230340918557,0.11918769393180156,1.8140093408158207,2.063739648803062
Connecticut,1.2224771567899775,2.050221096453908,2.8007135276634605,1.8136256812094926,2.559403644406207,0.26169056311775224,0.9644656604270012,-0.06283886646658317,-0.6447689667354071,0.22569930421350318,0.9811805301541671,1.5111797352044007,1.525828435241737
Michigan St.,0.9516688447668261,2.021480024352544,2.8312828238169794,1.1827559113435966,2.363885068238083,-0.6541736291598383,-1.411483044451409,0.7532531348432093,1.188529544719476,-0.01497217966797016,-0.258215342070571,2.427404154472621,3.3623754672212933
Texas Tech,2.123653768507197,2.597028012835161,1.7928313665636124,2.3367165656111033,1.7240883860429692,1.3873136539706583,0.8232894957161008,-1.0892508482259775,0.8446972475595297,0.3891712794518966,-0.2997422253660812,1.443793895346539,0.29341588325103385
Gonzaga,0.8330052542082863,2.1798001688286632,3.1737789587492315,1.743457118371956,2.4212395058164833,-1.3475129004813113,-0.41987759557706045,-0.42238735194878985,0.7250958477280574,1.27221621720509,1.4952088819845633,1.5556619937203702,2.030555899616735
Tennessee,3.7767085745025426,1.9459611291122303,2.67264488899675,0.3665048621274929,2.0553584809513934,-1.1754256879405909,-0.6150464147259864,0.8010143668081114,0.09006220969026138,-0.27856768688205186,0.11548581461313213,4.010177490338046,2.283282215160142
Louisville,0.8725103617594111,2.548220830513676,2.036931287346369,2.374633543858681,1.6897776677007184,2.2115199792389846,5.461802490067687e-06,-0.005968432916608838,0.3714691886245883,0.00023787172705463534,0.00021301603095998935,1.094848875032106,1.8184398141362608
Vanderbilt,0.678291507814445,2.527428959303116,1.923242335042767,1.6977553299305352,1.6647064444761206,0.5940779845977323,0.28858270527802504,0.7006641186806097,-0.8371600722205151,1.708317593486252,0.7756016725294012,0.13274752428548187,1.1990982168434978
Alabama,0.8688351946677119,2.924149850625717,1.2237453576021489,1.964723643664629,1.7093058041408662,2.4439275362784767,0.8567309943232595,0.5212154629402587,0.9910084823830186,1.731115980974313,-1.1291406006451348,0.7050088775776977,0.9340674110528037
Nebraska,0.5652984431190677,1.633989107870593,3.0986957439266476,1.5994989392224153,2.0548547120100014,1.8107264676561428,-2.0427195643824305,-0.9980678256192322,2.0912187478282402,1.096037564617935,1.5046832647047972,-0.33659337786252164,1.6714318831757131
Virginia,0.9666750161623504,2.0099452284831405,2.3472038620005082,1.2304671343892806,2.672912809756281,1.1808432205685289,0.6048871822887657,-0.04165023008212232,0.6995801668594929,0.2696283219799878,-0.16373854513233532,2.271373517026524,1.1467880136877835
Kansas,0.4511849554250386,1.6284063836066054,2.937451903683826,0.8533674002690735,3.3634820000705057,-0.6700417685945238,-0.8378318112396907,-0.19618877990069297,1.669820649859535,0.48034209726398425,-1.243397867511299,0.21897377465186868,0.8609616881550793
Arkansas,0.836414918271867,2.86847189466127,0.5736065670911076,2.2045213505947716,0.0009038959817659129,-1.1207321111043484,0.5535535530259703,0.30375522818963774,1.1566488833465667,2.003981374829002,0.0338748919954429,0.8813509987675031,0.579115526197604
St. John's,0.8424765026940172,1.5302099739541692,2.639267234950909,0.14419061667275215,1.858583622864034,-0.7286084542126887,1.592624392754361,1.9490026130333133,0.6201110521667635,1.382411412618056,1.3272389027028435,1.4156851544368303,1.1458815423862883
Wisconsin,1.7556163247131837,2.2436451099236097,0.01707347448956989,1.4216961153054797,0.22026009464587495,2.0130974281090386,0.00801250852608744,0.41602194859644387,1.0852076414144172,2.0484350276282184,-0.6538975180923525,0.06591676402457082,1.4816324929210667
