team,ft_rate_off_gravity,ft_rate_def_gravity,ft_rate_off_avg,ft_rate_def_avg
Abilene Christian,0.6618700470934498,1.062266717454795,41.263162449349146,54.176157250269014
Air Force,-0.5860392605499948,-0.10587678383907845,36.58119093903045,37.042552939569525
Akron,0.9943766024448156,0.9735328190973952,29.44385881403563,30.575528259943088
Alabama,1.6008267739118058,2.5231857168139395,37.51009897387944,33.73570768456538
Alabama A&M,0.41950804172897366,1.4695359062203053,45.5058275437524,38.58602197012055
Alabama St.,2.8702036282072085,1.1446359844002192,35.62776355272628,43.62302796005142
Albany,0.9690060845397338,0.2265746599237353,25.555640521593556,35.99309284677768
Alcorn St.,2.1187248167209605,0.9766901835715668,32.63135706667735,39.96272452479267
American,0.8915511083554721,1.3031630649268866,29.13830308791241,42.66305897416484
Appalachian St.,0.4763849861970423,1.020589725902275,39.79719287113202,31.68941879019768
Arizona,1.1888865282928531,1.068889699746517,44.17519345564615,28.918189818887818
Arizona St.,1.6008680445832704,1.2962271144221498,40.3452745893109,34.63415856735458
Arkansas,1.3068252214625256,1.768492406428854,37.04563601861918,32.28215155201257
Arkansas Pine Bluff,-0.27473635434166055,1.0686792931601032,39.29253874428691,44.226272780826946
Arkansas St.,0.6072696849744003,1.1999914061863801,39.949021015819575,37.651185872869334
Army,0.8604085664689584,1.6695746045292066,27.421137399422218,40.48839230937855
Auburn,1.1174420876091613,-0.6568361404746761,46.25829763434171,36.01783836892301
Austin Peay,0.4060726828525747,0.10896033886527355,38.82370630330047,33.13845606518711
BYU,-1.4668320048828145,1.0703320232884375,35.540539636679966,28.79475890145161
Ball St.,1.0519175362369173,0.8049110727049714,32.35902725849134,32.69880405971148
Baylor,-0.8985708572564277,1.0828252093373012,35.48232810325531,30.725666778114736
Bellarmine,0.8173583630270416,-1.7462030674434053,35.602448219274315,35.1906788576158
Belmont,0.3748539690826528,0.7559872500640551,33.05889261492446,30.964319279029855
Bethune Cookman,0.2236971466321714,0.6477536568446597,41.826424041522074,39.04578208182193
Binghamton,0.927492105835786,-2.143704816685976,42.86683887851979,35.26693195561943
Boise St.,0.857407902049459,1.5850877691894798,43.15289749577499,32.34572353504019
Boston College,0.6333325670135467,1.1929605226557445,32.81701678114723,35.121127938818745
Boston University,1.0682869592479842,0.5221483340288833,31.3364341487221,30.29722819944211
Bowling Green,0.29920186715519387,1.0804176596158237,37.46167048108107,38.68189310502686
Bradley,2.7535491166026014,1.405994278352471,36.52204686628841,37.9515690745558
Brown,0.879114398057575,1.3223916455743696,28.450950245006005,38.99411580846223
Bryant,0.8712037190039981,-0.07123211699998878,30.405151210750265,34.40129270010077
Bucknell,0.9402549135446028,0.4108019376648576,30.337751085132457,35.96809644502277
Buffalo,0.9184317231812267,0.957256197220295,40.52910685305507,31.576179997426802
Butler,1.1603465465951401,0.9786548827457815,43.021604108740796,25.347529689383446
Cal Baptist,-0.8074721964446935,1.02892240131078,37.90361836660259,38.228097504499
Cal Poly,-0.3542855076742222,1.4256390968436887,36.04134082213364,34.05162781182485
Cal St. Bakersfield,0.9072866626299225,1.003991518041189,43.29588289495305,43.39645696962212
Cal St. Fullerton,0.5615084867221765,0.5298483289545951,38.23911545446435,35.60544942694246
Cal St. Northridge,-0.35573644049102743,1.0393880121757335,36.14697969839036,34.92237576418638
California,1.4271059230361236,0.5992186521301872,37.57491257177635,37.95613723941912
Campbell,1.1664414186604193,0.24023657110850077,44.89598227653899,37.41796417165567
Canisius,1.059074440560948,0.36491666450576404,32.36370173801626,35.9905966118052
Central Arkansas,1.252473363561591,0.6100538501390915,31.731149899721828,30.44581056471396
Central Connecticut,1.8263119047427512,0.572080472269659,32.14701012565373,27.387152657054276
Central Michigan,1.0478265721575888,1.0584502344895745,32.148781455995724,39.94067480650701
Charleston,0.917191333308564,1.1005496133548487,41.972766088631545,26.361866071544032
Charleston Southern,1.3273254923742948,0.8469849721937808,31.058844173980383,44.157876631681624
Charlotte,1.8647639175870656,0.37219227713624675,36.87912793390236,38.44167609650317
Chattanooga,1.077413698722413,0.8571457950803005,30.639746396950393,43.54083187027382
Chicago St.,1.2055350931113795,2.0807205696184714,30.16681186446472,38.34797184287657
Cincinnati,0.7182674642852922,0.9979857661083833,30.10033731567849,30.47174648643563
Clemson,2.1387138299389647,1.142589888064368,38.23459132671117,33.7762935800311
Cleveland St.,0.42824709218120005,1.0402912356233802,39.71113711993182,36.184950405215695
Coastal Carolina,2.098319705006907,1.0369449521119305,33.315957033155186,35.42468047133987
Colgate,0.8221126181940221,-0.7532228939301151,30.35727612766228,33.91457117786929
Colorado,2.594283526390438,0.5005863902551582,36.6146954795891,36.93011398922783
Colorado St.,0.8943462656308062,1.7739793396257841,42.69315423515215,34.20633623554973
Columbia,0.8619632062189958,-0.27719960426705953,28.818340275162623,34.10954193002513
Connecticut,0.07653482109169363,0.7719015773244496,31.79297675500875,40.56792410263715
Coppin St.,0.2855270325555226,0.9386800572248537,39.274736725801326,44.374336752504085
Cornell,0.659904618855374,1.4503783864021165,31.19918710231161,38.328732744289894
Creighton,0.7678525461221252,1.0549437175158634,28.26570535746167,23.969884051101367
Dartmouth,1.0587663650359829,0.5640413472573177,39.06632011986462,30.993907079272304
Davidson,0.5250226713365667,0.37161211477083717,32.829535179182045,37.29260119286563
Dayton,1.1696149565247804,-0.014154751990393063,48.417382663284826,36.17313472441577
DePaul,1.73766534589923,0.8067578256434323,37.026105450123104,38.60517583057537
Delaware,1.5233429358117216,0.8973450144277024,31.239493170159644,31.11315052211018
Delaware St.,3.075415487316686,0.9698106262743835,35.23401652399399,40.728685685279984
Denver,0.5623208358992785,1.0399099388027402,34.91041437758186,38.66405194139684
Detroit Mercy,1.4504395333463056,2.0831881255639586,33.330200462530875,38.104591039819105
Drake,-0.04460902876168979,0.690115225471627,33.852022732271415,32.670105596887716
Drexel,1.2265698072660645,0.0063837030102501064,32.35249521325453,35.8716021326697
Duke,2.076247132603709,1.0159788860655277,38.23935344086805,22.949328972722935
Duquesne,1.1784430470441294,0.8062281923314509,39.22550401663416,41.07722232666494
East Carolina,1.1750343979543447,1.4113475016704349,40.1105314231653,32.61163719235832
East Tennessee St.,1.3338383334053159,0.3024233669737714,36.173525776568056,37.104787381167704
East Texas A&M,2.2080644523311066,-0.7905676504836446,32.1602344712685,35.19145266796771
Eastern Illinois,1.6274780612277209,-0.1365377602440587,33.950257842712986,35.88788491151506
Eastern Kentucky,1.2027201868955586,1.2626323374527608,31.090081754839122,39.82656003770751
Eastern Michigan,1.0580849474821639,0.49455512253070977,29.97790836425083,36.21111237120346
Eastern Washington,-0.020974975860295505,1.5263310516391346,36.349293486513965,37.47640116988184
Elon,0.4093785060084999,1.9326363815628533,33.64890667627459,34.87429494193411
Evansville,0.6824608479380706,0.9003593894093294,30.426690225542398,31.849711939162148
FIU,0.24615623910650664,0.9468559867185504,39.85988462186204,36.462760255603904
Fairfield,1.0167177140089114,0.40420327881143736,28.310578171464485,31.175357574815376
Fairleigh Dickinson,1.948412268404435,3.384356336205715,33.67352052254789,37.176220973924714
Florida,1.5785798323067552,2.1946547259674416,38.94135962376404,34.10798453635248
Florida A&M,-1.7826392440050565,0.9241851802523618,37.83926034960425,40.85894771154862
Florida Atlantic,0.535827275903706,0.580471162404449,33.17180849137194,35.70909166230307
Florida Gulf Coast,1.0704454447953586,1.8127426560137208,29.832205245194103,38.484060913327276
Florida St.,0.35331224201457406,1.3516034563766157,35.39314637495068,33.14387278323561
Fordham,0.9409697469750469,1.0581975008588533,27.560780590971884,30.740327541264772
Fresno St.,1.9423469273779483,1.265737435108823,35.16887059997959,29.589750636121288
Furman,0.7761903356503644,1.0249809537288213,32.32558657798996,29.390209852493346
Gardner Webb,1.319194866107514,0.639452747233747,31.098736950089172,35.84000111299494
George Mason,0.9899761335082908,1.0941014106341345,42.978675563687,28.449823832268795
George Washington,0.7646597331704912,2.170672965525673,36.27656863849874,34.98289266974417
Georgetown,1.4770576684181962,-1.135039406787016,38.478142443355544,36.235274130527635
Georgia,1.0873749330962785,1.2966380746304234,37.31653013454091,30.906903746905854
Georgia Southern,0.7823168106535818,1.319732856686139,39.66646788015491,42.03776972913636
Georgia St.,-0.43540922410803495,0.09790678498861342,37.569016275735216,35.747851753132636
Georgia Tech,0.4590900238635132,0.6412713327931198,33.978431250470855,34.92471465444366
Gonzaga,0.5109197070416391,0.9247025191597051,31.764704961850647,31.55830279981696
Grambling St.,-0.0379220979415459,0.8236360785169725,42.195167352798,40.6523837866624
Grand Canyon,0.7284360595415137,0.7274212188269314,39.4218757835066,38.19402071412572
Green Bay,0.8614439092062058,1.8227031771117848,42.38696837692383,38.35856450154089
Hampton,1.0665768453781688,1.0275576995514943,40.23864183626803,47.023604900386395
Harvard,0.986404361685221,0.7834184579365874,28.207056565229276,27.589092612311102
Hawaii,0.830427659971492,1.0197958723669949,44.29901239837684,37.63753687432943
High Point,0.7846198836727768,0.571036789530547,43.658619651244855,37.04702970519877
Hofstra,0.5569591215601437,0.49306058227161975,33.0667120825987,36.29465772917645
Holy Cross,0.9682304652987314,0.6011524168270707,31.909948428569983,27.966703233022205
Houston,0.6510789319614472,0.8323557063543218,27.18326440129218,38.773105094147056
