team,to_rate_off_gravity,to_rate_def_gravity,to_rate_off_avg,to_rate_def_avg
Abilene Christian,0.8541274994782516,0.8762116383990247,19.375868886997797,22.447818228648483
Air Force,0.8730281113085451,0.7936832698896851,20.037963008448102,14.285418572986744
Akron,0.3889922624963867,0.8653165701296285,14.944536508870513,17.482812419977357
Alabama,0.9640011393035414,0.6318897890737182,12.560130204296671,12.197322902748663
Alabama A&M,0.04803374599201227,0.634333320263425,15.636620368881095,15.571860423400993
Alabama St.,0.6479373802863239,0.2893677515439986,17.53136932945478,17.44620281610413
Albany,1.52403588525848,1.2209231205343745,16.95850424691366,14.84758797592415
Alcorn St.,0.7908284768169885,0.3043305594572608,18.12505949996169,16.973216054486414
American,0.3792276926341365,0.7794266593864331,14.706357043039127,18.184460659728447
Appalachian St.,0.6762884884056064,0.8968225322745993,13.562052464438674,12.8558547056397
Arizona,1.1039585601406878,1.1319574611590388,14.804730412879927,16.315639414788237
Arizona St.,-0.0196315308929586,1.2840765185240453,15.84046538966511,17.618033912804904
Arkansas,0.9234645204663605,-0.07643281270794074,11.88658100063759,14.885700744696724
Arkansas Pine Bluff,0.789977868481631,-0.1649001589915021,18.1179715361219,15.891052051961664
Arkansas St.,0.998277203832606,0.718394074441014,18.95513405203588,14.23312407514329
Army,0.5965751617671581,0.9095625243047336,16.116724820431433,14.529616605642714
Auburn,0.81170704722152,-0.6247116856324434,14.27674400192359,15.616403247659102
Austin Peay,0.11015907923599584,0.7355838631043354,14.737883268493283,17.235826323357784
BYU,1.2008739180548083,0.4140429845683326,14.09774917919748,14.693049235538307
Ball St.,0.7097243076643052,0.7279947283035515,14.624089740944488,17.477267788530906
Baylor,0.5550631808401917,-0.06448249226344835,15.658907465542587,15.134167807469641
Bellarmine,0.6245005067127465,0.7510762003972692,14.024988426753533,14.351601499201982
Belmont,0.7736247859630742,0.5247803291448019,17.30354704727519,16.17854917907368
Bethune Cookman,0.7437964373766482,1.4369781695905406,18.091567443252323,14.957207956561497
Binghamton,1.4025910416788172,1.2443666247397365,17.548374118246937,12.35124117594547
Boise St.,0.4198158362461957,0.760394696731857,15.615289009475031,13.726032467102263
Boston College,0.702573224771007,0.7075144607102666,14.84505146788872,13.876571155408367
Boston University,0.7296919199337328,1.0347945948382107,16.524897619488225,12.19788619851579
Bowling Green,0.2962546193037646,0.6854109400557935,15.481406513426736,17.63969637487458
Bradley,0.9107793230051506,0.9036141421151794,12.942931790704774,18.30254938538738
Brown,1.326831879318473,0.704527842346764,18.336018573551478,17.606221157508998
Bryant,1.2636179216095569,1.123744942286358,18.872216738111664,13.855629473462372
Bucknell,1.1938405758666897,0.9587404499716926,17.863857629267468,17.33434448642521
Buffalo,0.21283474054845827,0.7551805187488411,15.450627257096254,16.807834978950922
Butler,1.328242965305803,0.3516693731652115,14.904597344125383,14.10604117810396
Cal Baptist,-0.12807131134170638,-0.7368921153511149,16.65355764339095,16.087005701625213
Cal Poly,0.9030435923540281,0.8251303539420749,19.05928112228384,15.275063942819076
Cal St. Bakersfield,0.8184332263764484,0.2614900451257216,18.046851621339716,16.582211571268676
Cal St. Fullerton,0.7899566248516188,0.7149207207684676,14.17717924498867,18.407902750470893
Cal St. Northridge,0.5440544872452934,0.1870534014169953,16.915098374394454,15.651760410982016
California,0.9459201878103207,0.28301889477167586,13.850269812958734,15.106096663084427
Campbell,0.7335210482826895,0.4396889013556618,16.298747309194884,16.03720977565798
Canisius,0.7965933895305604,1.1927015773973684,18.173241927447794,14.807591375246298
Central Arkansas,0.35081485020044695,1.1024834036665507,14.640761915678151,18.103422516042134
Central Connecticut,0.09197470702983167,1.212433855734996,15.216867463736838,13.267006489712406
Central Michigan,0.8286457456988018,0.003814233775152793,16.882042500096865,15.749521270980964
Charleston,0.14267146123813984,0.9321608849525765,15.112766835417244,13.41248025211035
Charleston Southern,0.8579192106642216,1.1208046234157873,17.683429058219637,11.94151664391861
Charlotte,0.7865659886590881,0.7853947219123035,16.53057269375422,12.433455688503894
Chattanooga,0.5220483201276125,0.889758681564419,13.809381147035277,12.374926041487578
Chicago St.,0.7686559368909615,0.7622750754973893,13.989472165830227,18.8241153546986
Cincinnati,-0.047960441234580424,1.226474817574041,15.817817904644123,17.294235109774576
Clemson,0.9122438947470447,1.079055075611847,13.660769713106014,16.349264114805013
Cleveland St.,0.7085438137545252,0.639734316217162,16.595464780892506,14.458524415794548
Coastal Carolina,0.5732249966144998,0.917155942807771,14.170758643987009,11.700178570185845
Colgate,0.5499373202892676,0.9340677847643559,14.075517960476654,14.44905366853868
Colorado,0.9828388536664752,0.5225259321410011,13.826587904263253,14.474641412571508
Colorado St.,0.8028841823347425,0.7454511702156604,17.1991046882979,14.244026887266381
Columbia,1.2998246268314622,1.0563533452966793,17.73301312931555,14.396737230594628
Connecticut,0.6669092125874841,1.3288992404443503,15.182540302235292,17.249589161856214
Coppin St.,0.9643617879698122,-0.02569635749264754,21.113878754946526,16.521427162941958
Cornell,-0.22021888168248532,1.0750499200206023,15.673822191572377,14.360946031945204
Creighton,1.765043961344334,0.5905273077242718,15.15331331753242,13.621553604397707
Dartmouth,1.2194450352078219,1.104576036019293,16.594486456065752,12.83000478668324
Davidson,0.27210502558952676,0.6684972468830036,15.103878726526426,16.580216968951962
Dayton,0.6620979997655833,0.978511330773803,16.54618823959178,20.150936510561248
DePaul,0.4064650499118548,1.315182252635433,16.71336822017362,17.6598314288513
Delaware,0.6541176934062136,0.8606799557892125,16.723364572035887,13.281976423970697
Delaware St.,0.8685753699866222,0.5585879253246777,17.92773668396687,19.30932023120216
Denver,0.9063167513755183,0.8861951471393279,13.258515792721216,12.445533653263789
Detroit Mercy,0.45754190790817373,0.8366331357161163,15.325775775416167,13.70951739484294
Drake,1.0289500616859903,0.8541716261880318,14.131677718012533,14.016563730135125
Drexel,1.0244259789700854,0.6329038279517782,17.56388869961974,15.222073087998767
Duke,0.5699069772242136,1.275900580037113,14.754400642349372,17.146721103578667
Duquesne,0.688769822935295,0.8692088370568565,17.213767584554436,17.569531760325795
