team,efficiency_off_gravity,efficiency_def_gravity,efficiency_off_avg,efficiency_def_avg
Abilene Christian,0.9095761577343013,-0.3890361890190677,96.97691042585666,106.53210093191885
Air Force,0.8509897244645102,0.7248750456966683,93.38219464454276,118.44462957953976
Akron,0.8296252158374214,0.44858727429038864,122.58423922796328,104.4322673124558
Alabama,1.5017229388096978,-5.556797662325527,121.2007792561048,109.31761533150798
Alabama A&M,3.200723610677372,6.269415526992838,105.89476839528746,109.43789773714195
Alabama St.,1.4841675466747537,6.253185801692993,99.73198959268296,109.13230451252625
Albany,1.788538265080865,2.5870819259760465,104.04902802767819,111.95152538809752
Alcorn St.,1.3070627368283523,1.9225876737090466,96.60849729660961,114.59485759514037
American,3.4686091290032057,3.290327992744533,107.38149847340337,109.5787871181953
Appalachian St.,1.211601709770427,0.44055900677265275,107.79645896515242,102.93079256443156
Arizona,1.4891800774490753,1.459733424116858,120.71642675842678,93.34295023154417
Arizona St.,5.993358878250069,-5.512766067840541,108.47261525310738,108.836223433942
Arkansas,1.3690378322698273,-6.986497984864193,122.21000100815426,108.52459453523643
Arkansas Pine Bluff,1.795352293358805,1.9472447374936277,102.89476811183567,113.84507189616761
Arkansas St.,0.37121705897420004,-0.9618487030681133,110.64773388810686,106.71227574920376
Army,1.7538611234242316,1.6142531998390865,102.31768568295384,114.925659318379
Auburn,1.531443661364378,-0.7033500624529065,118.11199444122882,113.44505808417674
Austin Peay,-0.5031558782349858,-0.09775094132797751,112.34598136430036,106.11282294428565
BYU,1.6826134042781018,4.309829198280813,118.04458249669088,106.47025290553633
Ball St.,1.3863915147948636,1.8308840030307318,98.98357948122965,108.38046987176708
Baylor,2.0189426873053975,-0.8503793669922852,115.21816429900856,110.92657085134414
Bellarmine,0.6245551539545432,1.1235694375171938,119.42286096211578,125.25839304472947
Belmont,1.0881323737732067,0.3593091073632319,118.25234633035525,105.06418671400415
Bethune Cookman,2.048046309865181,-2.121097749838266,104.73976516697799,106.43092534686055
Binghamton,1.584627690190487,2.3671118192591747,100.1174632947799,114.42478598610276
Boise St.,1.600333314886583,4.843428468928781,114.12289249983,107.48494134116815
Boston College,0.6089145308972157,1.8665636478566516,99.19414558911579,104.08405193117568
Boston University,0.4120610424440365,2.1385878006390096,115.23859457621953,113.31145479324402
Bowling Green,-1.5909804304451687,0.58356307460329,108.32126062374742,102.51097011389231
Bradley,1.4506703637623974,0.47924195727601854,110.5050775759258,106.02905126077191
Brown,1.2141693454995133,-0.3231963036559309,97.55751420896772,106.52806757188098
Bryant,1.174051428900335,2.6020288781727263,94.77505143820842,112.13531663824934
Bucknell,1.397290679300329,1.6286081032382205,98.92055972163139,112.52478091340329
Buffalo,0.6400621815130915,1.720095616096774,114.51537909761235,112.14044515124824
Butler,2.8070961250460607,2.2513963522825784,110.50674241354191,107.80454137161591
Cal Baptist,1.3336154067359076,0.569260706224708,106.98260816220404,98.33925813331714
Cal Poly,0.6447459493063831,1.4993639716462015,105.44038523495513,112.23941487182599
Cal St. Bakersfield,0.9480296962774852,1.568428453375368,98.30337423647515,113.77055952203497
Cal St. Fullerton,0.08793210590810473,1.5247326561833985,107.56136769803273,108.51365571380553
Cal St. Northridge,0.9767152697396707,-0.797546165279824,104.03781170570373,106.84706800285403
California,3.750747437412044,1.6437989187758764,108.91165735198769,102.76744176157769
Campbell,0.329616762884009,1.0753292023612055,108.0251149670338,113.44768058176706
Canisius,1.286809854651834,3.7626080061676594,95.87889037056122,110.01487552568629
Central Arkansas,-0.37885146227245353,0.02802332666306455,111.93134293721634,108.06735656064289
Central Connecticut,3.2461055129168987,6.474762720807479,107.63399021764421,109.22554652319546
Central Michigan,1.5070874873828424,1.3436024501076984,105.58583937384957,113.90821192104114
Charleston,-0.9016584162718736,0.4692278107302934,108.25968794882625,106.06052166220788
Charleston Southern,2.713513509012283,-0.7128759218389783,106.63835394232883,105.71013537968216
Charlotte,1.2715765713950498,0.9767853942343648,111.85287222395148,113.23799930580756
Chattanooga,-1.3301026437102224,1.4059067114709933,110.46213102753579,114.7724080874767
Chicago St.,1.1603305636727446,1.6150991579644924,97.32440149063191,115.12455350819259
Cincinnati,-1.1061254541973828,1.4443476344943496,105.0044822199071,98.19876369941544
Clemson,1.8526916847771195,1.5786617573757422,112.44606841937532,100.71029558152244
Cleveland St.,-0.7626255039288109,1.043884709535562,109.61521037231503,123.18697557355085
Coastal Carolina,1.4813927098379331,-0.04779289665744745,103.141439589159,104.77412478305372
Colgate,-0.5027504230049368,2.296749002907644,110.06389776186676,110.20855661150662
Colorado,1.9672089629564737,-0.485807658689773,113.31597531452093,111.63031199987206
Colorado St.,1.1358623812568933,0.3015208057483826,119.25364808878587,112.52131584369651
Columbia,-0.8370164114842746,1.3810944024637821,108.69484248225974,108.42159531400428
Connecticut,1.6850013997209314,1.412057668869582,116.2214797464172,96.66552359165244
Coppin St.,1.2069655676822832,1.7618295306335112,92.26835822198005,116.4698807919289
Cornell,0.9563304527117349,1.3188548997753478,119.13015249074053,115.44615050623743
Creighton,3.4789197733469357,-3.389899477179458,110.13932925052373,108.54398423414585
Dartmouth,1.347658510988467,1.2139714331127254,105.1198721816367,112.12932937800352
Davidson,2.7204784251945795,1.2818443304290486,108.86659540212821,104.51568687819578
Dayton,1.767287337502482,1.2807341446715184,110.14416827944268,100.87257002284083
DePaul,0.13781975993351925,1.4340824646821426,104.33715579390275,102.38331375707843
Delaware,1.1990825804244962,1.4965662027880473,104.82647030303455,112.88222972279738
Delaware St.,1.2476698308306329,6.665283849700325,89.57533404021336,108.89729985688311
Denver,0.7619203758448039,1.099631116901327,116.24158208081275,119.87709226981002
Detroit Mercy,-2.1979754595948218,1.148533083004328,108.53041268452128,112.18175319851815
Drake,-1.417752720817356,1.144880895086639,107.47108839925669,111.63169426329858
Drexel,1.2649319509266792,0.37708603306719307,103.58688639613575,102.3040923730105
