team,tempo_gravity,avg_pace,efficiency_off_gravity,efficiency_def_gravity,efg_off_gravity,efg_def_gravity,three_pt_rate_off_gravity,three_pt_rate_def_gravity,ft_rate_off_gravity,ft_rate_def_gravity,to_rate_off_gravity,to_rate_def_gravity,orb_rate_off_gravity,orb_rate_def_gravity
Abilene Christian,1.4063608749747347,69.18357142857143,0.9095761577343013,-0.3890361890190677,0.8859328053200973,1.1526052902577246,0.8785178619396344,0.5318134049752113,0.6618700470934498,1.062266717454795,0.8541274994782516,0.8762116383990247,0.26324984140925356,1.7744224227946503
Air Force,0.9909416295239794,67.04451612903226,0.8509897244645102,0.7248750456966683,0.7249376380687441,0.7190715589784674,0.4161344825104814,-0.3516242483683951,-0.5860392605499948,-0.10587678383907845,0.8730281113085451,0.7936832698896851,0.9005031120307219,-0.18493359757029368
Akron,0.9773428612883902,71.79448275862069,0.8296252158374214,0.44858727429038864,0.8600317241865546,0.4200873030430839,0.867103461392599,0.9628716260879508,0.9943766024448156,0.9735328190973952,0.3889922624963867,0.8653165701296285,0.8751661091178401,-0.5790043417472325
Alabama,0.8688351946677119,76.22838709677418,1.5017229388096978,-5.556797662325527,1.5102149649582521,1.8933876145726822,0.9956892362958752,0.9082324511449413,1.6008267739118058,2.5231857168139395,0.9640011393035414,0.6318897890737182,2.7938734551700084,-1.3499879541286814
Alabama A&M,1.6477092504808066,67.56357142857142,3.200723610677372,6.269415526992838,1.333661195722405,2.716932053663213,1.0042142747609302,0.046493602019873445,0.41950804172897366,1.4695359062203053,0.04803374599201227,0.634333320263425,1.7020580813917985,-1.2260652486818646
Alabama St.,0.6215574795282828,71.41741935483871,1.4841675466747537,6.253185801692993,1.2458045245137686,2.4625080034694444,1.322779760940377,3.155910841046242,2.8702036282072085,1.1446359844002192,0.6479373802863239,0.2893677515439986,-0.3686475377967479,2.0845496336628964
Albany,0.8197015328005687,66.3296551724138,1.788538265080865,2.5870819259760465,-0.20892335207141746,1.6100079678735966,0.10808303614986746,0.23340858281689547,0.9690060845397338,0.2265746599237353,1.52403588525848,1.2209231205343745,0.63169016738791,2.845533803209411
Alcorn St.,-0.8305018283329216,69.62625,1.3070627368283523,1.9225876737090466,1.1853586472149975,1.5526092285373703,1.2974057709451685,0.43042331213037743,2.1187248167209605,0.9766901835715668,0.7908284768169885,0.3043305594572608,1.5721560250099658,1.2323125359832785
American,0.6819791578270024,66.67,3.4686091290032057,3.290327992744533,-0.4083151552067715,1.1856198799605007,1.0717327251416153,1.4950237708134422,0.8915511083554721,1.3031630649268866,0.3792276926341365,0.7794266593864331,1.2199823426983174,-1.69209331831062
Appalachian St.,1.0245219978545759,64.86,1.211601709770427,0.44055900677265275,1.172866071028956,0.7316412898702654,0.9124230982088372,1.2753388104195036,0.4763849861970423,1.020589725902275,0.6762884884056064,0.8968225322745993,0.16762509921651114,0.38441611879510934
Arizona,0.8480108286251304,72.56516129032258,1.4891800774490753,1.459733424116858,1.480322488481749,1.310749099146098,1.0253441003866524,0.6314426331303752,1.1888865282928531,1.068889699746517,1.1039585601406878,1.1319574611590388,1.180093821459734,1.5358534252636074
Arizona St.,0.7970432315298551,71.5175,5.993358878250069,-5.512766067840541,1.54910944164699,-1.514108167633835,0.059524284606365684,1.5981835886279516,1.6008680445832704,1.2962271144221498,-0.0196315308929586,1.2840765185240453,-0.23641261706667308,0.17107806931527553
Arkansas,0.836414918271867,73.89548387096774,1.3690378322698273,-6.986497984864193,1.345455311667905,0.14096848244432933,1.0969613038498167,2.231525208585827,1.3068252214625256,1.768492406428854,0.9234645204663605,-0.07643281270794074,2.120202433871657,-0.9737899422335284
Arkansas Pine Bluff,0.7102960533286639,71.98758620689655,1.795352293358805,1.9472447374936277,1.4407990330471545,1.8892298727364094,1.261141106916717,-0.2403733987446345,-0.27473635434166055,1.0686792931601032,0.789977868481631,-0.1649001589915021,1.869205571924725,1.3853365244448246
Arkansas St.,1.0530738642111608,73.59733333333334,0.37121705897420004,-0.9618487030681133,-0.06962780598568691,-0.07842550183467017,0.6833918032637871,-1.1480467782610833,0.6072696849744003,1.1999914061863801,0.998277203832606,0.718394074441014,0.9419920901533629,0.8159294582662754
Army,-1.564266007170004,69.02,1.7538611234242316,1.6142531998390865,1.671787065198079,1.0558508578722445,1.03597174368432,-0.05698173817712053,0.8604085664689584,1.6695746045292066,0.5965751617671581,0.9095625243047336,1.32147574784394,-0.5613799475977587
Auburn,0.1863663377340124,70.75870967741936,1.531443661364378,-0.7033500624529065,2.2184896428150087,-0.11049344643992193,0.0908230645286165,-0.07427536677885448,1.1174420876091613,-0.6568361404746761,0.81170704722152,-0.6247116856324434,1.231950311898721,-2.1865934173206787
Austin Peay,1.0745528911706685,70.3944827586207,-0.5031558782349858,-0.09775094132797751,-0.5883554995793681,0.5906957665512151,1.5043567994949676,-1.1171800766947835,0.4060726828525747,0.10896033886527355,0.11015907923599584,0.7355838631043354,1.4323288645062835,-0.7080042341119972
BYU,1.0423424199394251,71.91437499999999,1.6826134042781018,4.309829198280813,1.5354913106683281,0.3222600801707138,1.2887394911039651,-0.20613927890276085,-1.4668320048828145,1.0703320232884375,1.2008739180548083,0.4140429845683326,1.6188552820763653,1.7709702655291217
Ball St.,1.1984456287127843,66.22758620689655,1.3863915147948636,1.8308840030307318,1.3101248754734505,0.6924564042426005,0.17125546575075584,0.9236529479351683,1.0519175362369173,0.8049110727049714,0.7097243076643052,0.7279947283035515,1.2346972482802552,1.8544346667894225
Baylor,0.23376699523395345,70.2883870967742,2.0189426873053975,-0.8503793669922852,1.7660035527793867,-0.01123562597451029,-0.39849607709676416,0.6866473798442446,-0.8985708572564277,1.0828252093373012,0.5550631808401917,-0.06448249226344835,1.1960018696361028,-1.7204431820712092
Bellarmine,1.2068945776634985,66.38066666666667,0.6245551539545432,1.1235694375171938,0.7353821904743407,1.0524708467060924,0.7497018172286976,0.7358233882153417,0.8173583630270416,-1.7462030674434053,0.6245005067127465,0.7510762003972692,1.0843398276486285,1.1360088555286112
Belmont,0.9428672936776691,70.83290322580646,1.0881323737732067,0.3593091073632319,1.0294527411036147,0.8087148183857391,1.044650099417738,1.0053997189137494,0.3748539690826528,0.7559872500640551,0.7736247859630742,0.5247803291448019,0.9141592630074926,-0.48087919197251006
Bethune Cookman,0.7485459042703275,72.20066666666666,2.048046309865181,-2.121097749838266,0.3120221826680794,0.15681049982573783,1.0274509625664803,0.5657275263086707,0.2236971466321714,0.6477536568446597,0.7437964373766482,1.4369781695905406,0.6215464643122254,1.5944158010109506
