player_name,team,conf,gp,min_per,o_rtg,usg,e_fg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,hometown,rec_rank,ast_tov,rim_made,rim_attempted,mid_made,mid_attempted,rim_pct,mid_pct,dunks_made,dunks_attempted,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,player_type,coag,dob
Riley Grigsby,Seattle,WAC,7,95.4,97.3,24.5,45.9,49.4,4.2,11.3,3.8,13.2,19,24,0.792,33,72,0.458,12,39,0.308,1.9,2.4,21.6,Jr,6-6,11.0,2.1400478541772,101.42468190217,3.4,2021,65536,347,0.0,0.26666666666667,14,22,19,50,0.63636363636364,0.38,1,3,0.33333333333333,,106.03544766732,103.32298278278,3.1676411768406,47.55087019097,-1.5705723514861,-1.2720858596407,-0.29848649184538,0.26169645000525,38.142857142857,0.42968053620276,-0.16798408619751,1.5714285714286,3.2857142857143,4.8571428571429,0.57142857142857,1.5714285714286,0.57142857142857,17.285714285714,,8.4199326250799,
Jacob Eyman,Portland St.,BSky,7,47.9,84.6,17.6,46.9,42.9,6.8,17.2,0.0,12.3,6,21,0.286,15,32,0.469,0,0,0.0,11.6,2.6,65.6,So,6-10,32.0,-0.54458432708755,77.057373972812,5.1,2021,65537,347,0.0,0.0,10,16,5,16,0.625,0.3125,1,1,1.0,,88.692943225243,91.246568875153,2.3919369205603,32.485737081227,-3.2597637357802,-7.4149798713379,4.1552161355577,-2.9051762616559,19.142857142857,-5.2272826102908,2.3221063486348,1.2857142857143,2.4285714285714,3.7142857142857,0.0,0.85714285714286,1.7142857142857,5.1428571428571,,0.0,
Isaiah Richards,Louisiana,SB,6,25.4,94.5,15.9,53.8,57.0,7.0,25.3,3.0,29.1,3,4,0.75,7,13,0.538,0,0,0.0,1.6,0.9,30.8,Fr,6-10,35.0,0.018451100959473,85.778785323408,3.9,2021,73730,347,0.0,0.2,3,5,4,8,0.6,0.5,2,2,1.0,,96.780473950564,99.733967340845,0.97092333610203,13.402951512258,-5.2296915102066,-4.5264019665369,-0.70328954366967,-4.3423416964803,10.166666666667,-3.3469143154454,-0.99542738103487,0.66666666666667,2.5,3.1666666666667,0.16666666666667,0.16666666666667,0.16666666666667,2.8333333333333,,0.0,
Quinton Johnson II,UT Rio Grande Valley,WAC,6,71.3,64.2,19.4,23.0,26.5,6.5,16.4,17.4,19.3,6,10,0.6,7,26,0.269,3,24,0.125,0.6,0.0,20.0,So,6-4,2.0,-2.2148331478325,62.859965100625,3.5,2021,65539,347,0.0,1.2727272727273,6,12,1,14,0.5,0.071428571428571,0,0,0.0,,107.65231986353,108.19093670464,1.8854167110534,26.846024444208,-5.4028575707101,-4.8236828841379,-0.57917468657223,-9.1009937690752,28.5,-6.0011508717078,-3.0998428973675,1.8333333333333,4.0,5.8333333333333,2.3333333333333,0.0,0.16666666666667,4.8333333333333,,8.1513210264963,
Uche Dibiamaka,UT Rio Grande Valley,WAC,6,63.3,89.5,18.8,45.9,48.9,1.3,9.2,3.3,16.2,8,11,0.727,12,27,0.444,7,22,0.318,0.7,0.8,22.4,Jr,6-4,15.0,0.14110699423585,86.860961271795,4.5,2021,65540,347,0.0,0.25,9,15,3,12,0.6,0.25,0,0,0.0,,109.1815218429,109.72778974012,1.5408263378756,22.049900977937,-4.0842760238379,-2.6043368357285,-1.4799391881094,-4.6949291967413,25.333333333333,-2.8802317079829,-1.8146974887583,0.33333333333333,2.0,2.3333333333333,0.33333333333333,0.33333333333333,0.16666666666667,8.8333333333333,,8.4163784637718,
Jermaine Harris,Rhode Island,A10,4,28.2,71.5,12.1,33.3,31.7,6.4,16.0,3.5,20.0,0,1,0.0,3,7,0.429,0,2,0.0,2.4,1.2,11.1,Jr,6-8,0.0,-0.8461981825796,63.663897771431,5.0,2021,65541,347,83.8,0.5,3,5,0,2,0.6,0.0,1,1,1.0,,115.11343287692,112.42380557622,0.58127341929346,8.0170953422025,-4.4023255344195,-5.8201049971315,1.417779462712,-7.7170672840062,12.0,-6.0172556617802,-1.699811622226,0.75,1.5,2.25,0.25,0.25,0.25,1.5,,2.430425095595,
Luke Frampton,Western Kentucky,CUSA,6,26.8,108.6,20.6,62.5,64.6,1.3,7.8,8.9,23.7,5,6,0.833,2,4,0.5,12,28,0.429,0.0,3.1,18.8,Jr,6-5,14.0,1.4621441199419,111.5912190718,3.3,2021,65542,347,0.0,0.5,2,4,0,0,0.5,0.0,0,0,0.0,,97.654923897163,96.639889605875,1.6997936920061,17.325412029806,2.2898980241985,2.9968720150224,-0.70697399082385,3.2046836597541,16.333333333333,2.3149751224689,0.88970853728516,0.16666666666667,1.1666666666667,1.3333333333333,0.66666666666667,0.83333333333333,0.0,7.5,,17.076082349962,
David Azore,UT Arlington,SB,4,58.0,114.7,25.9,42.6,52.7,0.9,18.9,14.7,3.9,23,27,0.852,14,36,0.389,4,11,0.364,0.0,4.0,57.4,Jr,6-4,4.0,3.4795179304514,119.83311227518,3.8,2021,65543,347,0.0,4.0,3,9,11,27,0.33333333333333,0.40740740740741,0,0,0.0,,103.6744493856,107.72063278314,1.9658208808325,24.97153780446,0.52527609953008,1.2270420944983,-0.70176599496823,2.7333782498999,29.0,1.667632162359,1.0657460875409,0.25,4.75,5.0,2.0,2.0,0.0,15.75,,5.5694140926522,
Andre Ball,Pepperdine,WCC,1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,So,6-7,10.0,-1.2997038919051,-8.3828387013021,0.0,2021,65544,347,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,,113.94944053502,116.67663332964,0.14683842011566,0.41253586971304,-0.29865160938242,-1.0623938978788,0.7637422884964,-2.2624688328807,4.0,-1.8692805028568,-0.39318833002396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
Tommy Murr,Lipscomb,ASun,2,3.0,35.3,17.1,0.0,0.0,18.3,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,Fr,6-0,14.0,-0.54920990784938,32.49785400566,0.0,2021,73737,347,64.2,0.0,0,0,0,0,0.0,0.0,0,0,0.0,,108.84363997225,119.35871163166,0.082208379962699,0.64402330337448,-15.960682159871,-6.925037702046,-9.0356444578252,-18.698487205068,3.0,-8.838838613883,-9.8596485911854,0.5,0.0,0.5,0.0,0.0,0.0,0.0,,19.162945685894,
Jared Rodriguez,San Diego,WCC,5,36.0,71.4,25.7,31.8,36.7,1.4,16.6,5.1,14.5,6,8,0.75,6,17,0.353,3,16,0.188,1.3,1.5,24.2,Jr,6-7,20.0,-0.27941998329022,79.663791693516,7.2,2021,65546,347,0.0,0.4,3,7,3,10,0.42857142857143,0.3,2,2,1.0,,107.7590300338,101.2097728113,1.3014663987967,13.441670348444,-7.1134396748144,-5.4706914486121,-1.6427482262023,-9.3988215725242,14.4,-7.3352287061699,-2.0635928663542,0.2,2.0,2.2,0.4,0.4,0.2,5.4,,11.895179140722,
Aaron Wheeler,Purdue,B10,6,44.1,139.4,13.4,80.6,75.9,7.0,23.3,8.5,12.6,7,12,0.583,4,7,0.571,7,11,0.636,1.2,1.7,66.7,Jr,6-9,1.0,3.1245121344989,136.32215090603,4.8,2021,65547,347,66.4,1.6666666666667,4,7,0,0,0.57142857142857,0.0,2,2,1.0,,93.227710628948,86.541777519048,2.4910981072164,22.475767347682,7.878474919679,5.8108796354648,2.0675952842143,9.6206896843854,18.0,5.5281708050059,4.0925188793795,1.0,3.8333333333333,4.8333333333333,0.83333333333333,0.5,0.16666666666667,6.0,,6.1587941774576,
