player_name,team,conf,gp,min_per,o_rtg,usg,e_fg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,hometown,rec_rank,ast_tov,rim_made,rim_attempted,mid_made,mid_attempted,rim_pct,mid_pct,dunks_made,dunks_attempted,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,player_type,coag,dob
Isaiah Richards,Gardner Webb,BSth,7,61.0,124.3,17.4,71.6,69.9,8.2,26.5,13.5,21.1,10,17,0.588,19,28,0.679,5,9,0.556,0.6,1.0,45.9,Sr,6-10,24,2.142027817483,115.0931220103,4.7,2025,73730,364,0.0,1.0909090909091,19,26,0,2,0.73076923076923,0.0,1,2,0.5,,109.97632388787,109.18619010888,1.9117814776935,31.907679909053,3.0554968139358,2.6629891093615,0.39250770457425,3.7732384885921,24.385714285714,2.4865445315933,1.2866939569988,1.8571428571429,5.4285714285714,7.2857142857143,1.7142857142857,0.42857142857143,0.14285714285714,9.0,,3.0027644833347,
Mylyjael Poteat,Virginia Tech,ACC,7,43.0,104.1,20.6,62.9,64.1,7.1,11.5,6.4,24.7,10,15,0.667,22,35,0.629,0,0,0.0,2.5,1.7,42.9,Sr,6-9,34,1.1525603195596,106.77850519765,3.6,2025,73735,364,3.0,0.33333333333333,12,17,10,18,0.70588235294118,0.55555555555556,4,4,1.0,,110.55920036163,104.95398753273,1.8187538627368,22.297263599491,0.58521525039467,-0.51037065158854,1.0955859019832,0.48582248041237,20.585714285714,0.036685601996211,0.44913687841616,1.1428571428571,1.8571428571429,3.0,0.57142857142857,0.57142857142857,0.42857142857143,7.7142857142857,,0.0,
All Wright,Valparaiso,MVC,8,87.5,107.2,31.9,53.4,56.5,1.2,7.2,14.0,10.1,28,35,0.8,37,86,0.43,28,62,0.452,0.4,2.8,23.6,Fr,6-3,3,4.107389655837,123.58667804273,1.1,2025,126859,364,0.0,1.0,22,40,15,46,0.55,0.32608695652174,0,0,0.0,,106.18099664158,106.52380514486,3.0683581097208,44.159464448911,0.26131372484558,3.8378485146609,-3.5765347898153,5.9395185185309,35.0125,6.3581012939064,-0.41858277537552,0.375,2.125,2.5,1.875,1.625,0.125,23.25,,13.240512459696,
Ileri Ayo-Faleye,Vermont,AE,8,85.9,103.1,21.4,50.6,53.3,6.3,13.7,4.3,14.0,21,33,0.636,19,38,0.5,14,41,0.341,10.4,0.9,41.8,Sr,6-8,0,1.2574034438113,100.32449434831,2.5,2025,73741,364,0.0,0.46153846153846,10,21,9,17,0.47619047619048,0.52941176470588,3,4,0.75,,95.420105754258,100.70520272516,3.7051924483395,53.45422792262,0.42753642566452,-2.6807756288457,3.1083120545103,0.86681650610251,34.3625,-0.34445135397501,1.2112678600775,1.625,4.375,6.0,0.75,0.5,3.125,12.625,,9.4597298848886,
Jonah Hinton,St. Bonaventure,A10,7,72.6,80.1,17.5,37.3,40.6,0.6,8.8,11.9,18.6,6,6,1.0,7,19,0.368,9,36,0.25,0.6,1.2,10.9,So,6-3,8,-1.0222577976276,79.640557059528,3.3,2025,127117,364,0.0,1.1818181818182,4,7,3,12,0.57142857142857,0.25,0,0,0.0,,104.61863952992,104.06531235156,2.7943395925408,29.797049412022,-2.8601376904865,-2.9693985684184,0.10926087793194,-5.0407856801454,29.057142857143,-4.7198187620651,-0.3209669180803,0.14285714285714,2.2857142857143,2.4285714285714,1.8571428571429,0.57142857142857,0.14285714285714,6.7142857142857,,10.651943854213,
Szymon Zapala,Michigan St.,B10,9,32.2,98.5,12.3,52.9,54.1,8.9,18.1,2.9,24.6,4,7,0.571,9,17,0.529,0,0,0.0,3.5,2.0,41.2,Sr,7-0,10,0.29550545834155,96.39210642169,7.6,2025,73746,364,74.6,0.33333333333333,8,14,1,3,0.57142857142857,0.33333333333333,5,5,1.0,,94.879693250134,84.28462965023,2.122335236726,23.970099541158,4.3524657410045,-1.0759158780389,5.4283816190435,0.8896872215642,12.877777777778,-3.3805958545253,4.2702830760895,1.0,2.0,3.0,0.22222222222222,0.44444444444444,0.33333333333333,2.4444444444444,,0.0,
Kenny White Jr.,Morehead St.,OVC,4,49.3,105.7,20.1,45.1,47.5,4.7,17.3,8.5,5.4,6,9,0.667,11,30,0.367,5,11,0.455,0.0,2.7,22.0,Sr,6-7,13,1.4057019813112,103.48817487988,1.7,2025,73753,364,0.0,2.0,7,16,4,14,0.4375,0.28571428571429,0,0,0.0,,104.31608905641,114.34309833477,1.7878674500089,20.799711930151,-1.5683902519547,-0.6938079068974,-0.87458234505726,-0.25876843650611,29.55,1.3507230529171,-1.6094914894232,1.25,4.0,5.25,1.0,1.25,0.0,10.75,,5.9051048127741,
Aidan Reichert,Mercyhurst,NEC,3,82.7,113.2,25.6,51.9,59.9,12.4,11.7,14.3,19.5,14,17,0.824,14,27,0.519,0,0,0.0,2.6,2.5,63.0,Sr,6-4,32,2.6883264804421,113.20860974025,2.8,2025,128346,364,0.0,0.875,12,18,2,9,0.66666666666667,0.22222222222222,0,0,0.0,,110.18079398692,120.9679851723,1.2404884366506,16.508937008861,-2.0519621963235,-1.7090896774197,-0.3428725189038,-2.2122049732782,33.066666666667,-0.1467879706159,-2.0654170026623,3.0,3.0,6.0,2.3333333333333,1.3333333333333,0.66666666666667,14.0,,0.0,
Austin Harvell,Alabama A&M,SWAC,4,3.7,78.8,26.6,41.7,41.7,9.4,0.0,0.0,18.3,0,0,0.0,1,2,0.5,1,4,0.25,0.0,0.0,0.0,Sr,6-6,11,-0.12839291651772,77.236500653945,6.8,2025,73758,364,0.0,0.0,1,2,0,0,0.5,0.0,0,0,0.0,,112.14490858439,126.96697434638,0.049259922565149,1.2599201413906,-17.123813696118,-6.2827043350737,-10.841109361044,-13.709537153087,2.95,-6.5910763688572,-7.1184607842295,0.25,0.0,0.25,0.0,0.0,0.0,1.25,,19.328109492967,
Rich Smith,Abilene Christian,WAC,7,61.5,98.0,16.1,40.0,49.4,4.2,14.8,34.8,27.9,15,22,0.682,10,25,0.4,0,0,0.0,2.9,2.5,88.0,Jr,6-4,4,0.2789330791506,93.046341736057,4.8,2025,126981,364,0.0,2.5,8,18,2,7,0.44444444444444,0.28571428571429,0,0,0.0,,92.620730406567,96.697407564094,2.9950755547298,36.26447048094,0.8150788098115,-1.7586548277077,2.5737336375192,1.7125776391871,25.042857142857,-1.5657147992248,3.2782924384118,1.0,3.1428571428571,4.1428571428571,5.0,1.1428571428571,0.71428571428571,5.0,,0.0,
